x,Curve1
0.1308,-21.28
0.2857,25.29
0.4109,83.41
0.5689,160.55
0.6833,251.04
0.7972,328.19
0.9331,405.34
1.0913,489.57
1.3367,553.37
1.7172,577.02
2.2171,533.99
2.544,459.35
2.8493,395.02
3.1767,330.68
3.5263,269.56
3.8981,211.66
4.2701,156.96
4.664,102.27
5.0802,50.78
5.367,16.76
5.6423,-8.51
5.8695,-29.67
6.3523,-68.3
6.8355,-100.5
7.3407,-132.7
7.846,-161.51
8.2808,-182.39
8.7253,-203.57
9.2601,-222.56
10.0671,-248.72
10.5954,-258.42
11.1457,-268.12
11.6741,-277.82
12.2024,-287.52
12.7528,-294
13.2812,-302.69
13.8318,-306.97
14.3824,-310.24
14.9109,-316.73
15.4615,-320
15.99,-325.47
16.5408,-326.54
17.0694,-329.8
17.62,-333.25
18.1486,-336.34
18.6993,-338.42
19.25,-340.51
19.8008,-341.93
20.3075,-342.99
20.8583,-343.05
21.3869,-346.32
21.9377,-346.37
22.4663,-349.64
