x,Curve1
0.2394,-3.187
0.5005,-1.07
1.0229,-0.018
1.5452,-0.027
2.0675,-0.39
2.6115,-0.754
3.0336,-1.248
3.3297,-1.651
3.852,-2.19
4.3743,-2.553
4.9184,-3.093
5.4407,-3.633
5.963,-3.996
6.5071,-4.359
7.0294,-4.546
7.5734,-4.732
8.0958,-4.918
8.6181,-5.104
8.9973,-5.364
9.358,-5.425
9.7651,-5.601
10.0762,-5.837
10.6202,-6.024
11.1425,-6.275
11.6649,-6.461
12.1872,-6.582
12.7312,-6.834
13.2535,-6.843
13.7976,-7.03
14.3417,-7.151
14.864,-7.225
15.4081,-7.412
15.9304,-7.532
16.4744,-7.719
16.9967,-7.905
17.519,-7.914
18.0631,-8.101
18.6072,-8.241
19.1295,-8.185
19.6929,-8.372
20.1959,-8.381
20.7182,-8.455
21.2405,-8.465
21.7628,-8.474
22.2851,-8.352
