x,Curve1
0.1751,-5.748
0.3611,-2.564
0.5361,1.503
0.6674,3.979
0.9081,7.87
1.302,10.965
1.849,11.672
2.3523,10.346
2.8337,8.577
3.337,6.632
3.8184,4.686
4.2998,3.095
4.7374,1.15
5.2407,-0.265
5.6783,-1.68
6.2035,-3.095
6.6849,-4.51
7.1663,-5.924
7.6915,-7.162
8.1947,-8.4
8.7199,-9.815
9.2232,-11.053
9.7046,-12.291
10.0766,-13.175
10.6018,-14.059
11.1269,-14.944
11.6521,-15.828
12.1772,-16.712
12.7024,-17.596
13.2276,-18.304
13.7746,-18.834
14.2998,-19.365
14.8249,-19.719
15.372,-20.249
15.8972,-20.78
16.4223,-21.133
16.9694,-21.664
17.4945,-22.018
18.0416,-22.371
18.5667,-22.725
19.0919,-22.902
19.6389,-23.255
20.186,-23.432
20.733,-23.432
21.2582,-23.609
21.8053,-23.609
22.3304,-23.432
