x,Curve1
0.1927,-11.38
0.4103,11.62
0.5418,32.52
0.6428,51.94
0.7964,87.03
0.982,123.33
1.1617,150.98
1.3849,177.47
1.7156,193.62
1.9919,197.28
2.3283,191.83
2.6529,177.42
3.043,157.81
3.4332,139.34
3.8452,119.73
4.2357,102.41
4.6699,85.1
5.1041,67.79
5.5167,51.62
5.9732,36.61
6.4298,22.76
6.8644,7.75
7.3652,-3.81
7.6047,-9.59
8.1055,-21.15
8.5845,-32.7
9.0853,-44.26
9.5867,-52.36
9.9973,-60.81
10.5676,-68.55
10.8945,-74.34
11.4184,-78.98
11.9421,-84.78
12.4655,-91.72
12.9896,-95.22
13.5135,-99.86
14.0375,-103.35
14.5835,-106.84
15.1075,-110.33
15.6318,-112.67
16.1561,-115.01
16.6805,-116.2
17.2267,-118.54
17.7509,-120.88
18.2754,-122.06
18.8217,-123.25
19.3681,-124.44
19.8925,-125.63
20.417,-126.81
20.9633,-128
21.5098,-128.04
22.0127,-128.07
22.5373,-128.53
