x,Curve1
0.06452,-30.09
0.10409,-3
0.19779,55.99
0.29748,147
0.37058,247.09
0.44369,358.96
0.51679,459.05
0.5899,563.7
0.65636,663.79
0.73611,772.92
0.8358,856.71
0.94878,938.63
1.09499,993.27
1.25449,997.95
1.414,966.18
1.56021,911.66
1.69977,852.59
1.83934,793.51
1.97226,729.89
2.10517,670.82
2.23809,602.64
2.37766,539.02
2.51058,475.4
2.65014,416.33
2.78306,361.8
2.91598,302.72
3.02231,261.83
3.16853,207.31
3.31474,157.34
3.46759,111.92
3.6138,66.49
3.71191,34.69
3.83312,-1.64
3.97933,-42.52
4.13219,-83.39
4.28504,-124.27
4.4379,-160.59
4.5974,-192.36
4.75026,-224.14
4.90976,-251.36
5.06927,-278.59
5.22877,-301.27
5.38827,-328.49
5.54113,-355.72
5.70063,-378.4
5.86013,-405.62
6.01964,-428.3
6.17914,-446.42
6.33864,-464.55
6.49814,-482.68
6.65765,-496.26
6.81715,-509.84
6.97665,-527.97
7.13615,-541.55
7.29566,-550.58
7.45516,-564.16
7.61466,-573.19
7.77416,-577.67
7.94031,-586.7
