x,Curve1
0.06714,-34.34
0.15771,101.05
0.21057,210.21
0.25013,319.37
0.28545,448.57
0.31835,562.27
0.35791,671.42
0.39747,780.58
0.43704,889.73
0.48325,998.89
0.56205,1137.53
0.66622,1252.45
0.79909,1297.31
0.95879,1265.56
1.08976,1192.23
1.18539,1111.07
1.27879,1015.63
1.36554,920.18
1.44565,820.18
1.53906,724.74
1.63244,633.84
1.72584,538.4
1.82588,447.51
1.91928,352.06
2.01932,261.17
2.11936,170.28
2.21273,83.93
2.29584,1.19
2.38608,-56.95
2.49274,-138.74
2.61271,-225.08
2.726,-297.78
2.85259,-375.01
2.97918,-447.7
3.02581,-474.96
3.15903,-543.1
3.29224,-606.69
3.43209,-670.28
3.56529,-729.33
3.71178,-788.37
3.85162,-847.41
3.99145,-901.9
4.14457,-956.39
4.29104,-1006.33
4.44412,-1047.18
4.59722,-1092.57
4.75028,-1124.33
4.90337,-1165.17
5.05645,-1206.02
5.21618,-1242.31
5.36925,-1278.61
5.52232,-1314.91
5.68203,-1346.66
5.83508,-1378.41
5.99478,-1405.61
6.15444,-1423.72
6.31412,-1446.37
6.4738,-1469.02
6.63347,-1487.13
6.79314,-1505.24
6.9528,-1523.34
7.10583,-1546
7.26547,-1555.01
7.43176,-1564.02
7.58476,-1577.58
7.74439,-1586.6
7.91068,-1595.6
