x,Curve1
0.06721,-30.85
0.13446,66.15
0.18347,187.89
0.24355,374.46
0.29834,570.7
0.36509,765.37
0.45185,935.64
0.60389,1016.45
0.75726,965.81
0.87725,827.5
0.99058,689.21
1.09724,542.82
1.21056,388.29
1.32389,241.88
1.46171,54.81
1.59054,-99.76
1.70386,-238.05
1.83053,-376.37
1.95053,-514.68
2.0772,-644.89
2.20387,-766.98
2.33721,-889.09
2.47055,-1003.07
2.60389,-1117.06
2.7238,-1222.9
2.85725,-1312.53
2.99626,-1414.84
3.12395,-1499.91
3.27064,-1589.58
3.43067,-1671.16
3.57737,-1744.59
3.7374,-1809.94
3.89077,-1875.26
4.04413,-1940.59
4.20417,-2005.94
4.35753,-2071.26
4.5109,-2128.47
4.66427,-2177.57
4.74917,-2202.13
4.85099,-2234.86
5.01103,-2275.85
5.17637,-2321.64
5.33112,-2349.71
5.49117,-2382.58
5.65121,-2415.45
5.81793,-2440.22
5.97798,-2473.09
6.13803,-2489.73
6.30475,-2506.38
6.4648,-2523.02
6.63152,-2531.55
6.79824,-2540.08
6.9583,-2548.6
7.12502,-2557.13
7.28507,-2565.65
7.4518,-2574.18
7.61852,-2582.72
7.77857,-2591.23
7.9453,-2599.77
