x,Curve1
0.07262,-26.39
0.15686,35.21
0.21891,126.65
0.32504,281.78
0.41222,326.87
0.44117,343.08
0.48425,322.69
0.557,288.1
0.62355,224.86
0.68073,165.11
0.73632,78.03
0.79919,3.26
0.85572,-60.63
0.88226,-101.41
0.94398,-184.49
0.99502,-256.4
1.10116,-403.23
1.2073,-558.22
1.32007,-713.2
1.4262,-868.19
1.53897,-1015.02
1.65174,-1170
1.75479,-1314.27
1.84956,-1434.04
1.93035,-1520.74
2.04975,-1659.4
2.11808,-1735.06
2.16915,-1789.9
2.28856,-1920.39
2.3629,-1993.99
2.42123,-2042.72
2.5539,-2165.05
2.68657,-2271.05
2.8325,-2377.05
2.96517,-2466.73
3.02488,-2507.49
3.17081,-2597.17
3.32338,-2686.84
3.46329,-2777.02
3.63704,-2870.83
3.76783,-2923.21
3.9204,-2988.39
4.0796,-3053.57
4.23881,-3120.31
4.39801,-3152.85
4.55721,-3201.7
4.70978,-3229.45
4.86899,-3266.91
5.03483,-3307.47
5.19403,-3322.13
5.35323,-3346.51
5.51907,-3362.72
5.67828,-3378.93
5.76673,-3384.34
5.84411,-3386.98
6.00995,-3395.03
6.09316,-3397.07
6.17579,-3394.92
6.25901,-3400.2
6.33499,-3402.97
6.4196,-3406.57
6.50083,-3402.86
6.66667,-3410.9
6.8325,-3418.95
6.99171,-3427.01
7.15091,-3435.06
7.31675,-3443.11
7.47595,-3451.16
7.64179,-3451.05
7.80763,-3459.1
7.96683,-3458.99
