x,Curve1
0.12231,-106.34
0.26777,-196.41
0.40661,-302.79
0.53223,-433.63
0.65124,-572.61
0.76364,-711.58
0.86942,-858.69
0.97521,-1013.97
1.08099,-1169.25
1.17355,-1316.34
1.27934,-1463.45
1.3124,-1512.49
1.41818,-1667.77
1.52397,-1823.04
1.63636,-1978.34
1.74215,-2125.45
1.85455,-2272.58
1.96694,-2411.55
2.07934,-2550.52
2.20496,-2689.51
2.33058,-2820.35
2.4562,-2943.02
2.58843,-3057.55
2.72727,-3163.93
2.86612,-3270.3
3.02479,-3376.72
3.17025,-3458.63
3.32231,-3540.55
3.48099,-3606.17
3.63306,-3671.77
3.79174,-3729.22
3.9438,-3786.66
4.10248,-3827.79
4.26116,-3877.08
4.41983,-3901.88
4.58512,-3926.7
4.7438,-3959.67
4.90248,-3984.48
5.06116,-4017.45
5.21983,-4034.09
5.37851,-4058.9
5.53719,-4075.55
5.70248,-4084.04
5.86116,-4100.69
6.02645,-4109.19
6.19174,-4117.69
6.35702,-4118.03
6.5157,-4126.51
6.68099,-4135.01
6.83967,-4151.65
7.00496,-4151.99
7.17025,-4160.49
7.32893,-4168.97
7.48099,-4161.12
7.63306,-4169.6
7.79835,-4161.77
