x,Curve1
0.09441,-198.64
0.16071,-386.37
0.20712,-582.25
0.26679,-769.97
0.34635,-949.55
0.4458,-1112.8
0.55188,-1267.9
0.66459,-1406.67
0.7773,-1553.61
0.88338,-1708.71
0.98946,-1871.96
1.08891,-2035.22
1.18836,-2198.48
1.28781,-2361.73
1.38726,-2524.99
1.48671,-2688.24
1.59279,-2843.34
1.69887,-2998.43
1.81158,-3137.21
1.92429,-3284.15
2.037,-3422.92
2.16297,-3553.54
2.28893,-3692.32
2.42153,-3806.62
2.56076,-3912.76
2.69336,-4010.74
2.83922,-4100.56
2.97845,-4182.22
3.02486,-4206.72
3.17735,-4280.22
3.32984,-4353.72
3.48233,-4410.89
3.64145,-4459.91
3.80057,-4508.93
3.95969,-4549.79
4.11881,-4582.49
4.27793,-4615.18
4.43705,-4656.04
4.58954,-4680.57
4.74866,-4696.95
4.91441,-4721.49
5.08016,-4729.7
5.23928,-4737.91
5.40503,-4746.13
5.56414,-4738.02
5.72326,-4738.07
5.88238,-4746.29
6.0415,-4754.5
6.20062,-4762.71
6.36637,-4770.93
6.53212,-4770.98
6.68461,-4771.03
6.85036,-4779.25
7.00948,-4787.46
7.16197,-4787.51
7.32772,-4787.56
7.49347,-4795.78
7.65259,-4803.99
7.81171,-4804.04
7.9642,-4804.09
