x,Curve1
0.02412,5.98
0.09764,5.957
0.16819,5.641
0.24171,5.617
0.31228,5.447
0.3858,5.423
0.45637,5.254
0.52989,5.23
0.60049,5.353
0.67402,5.476
0.74756,5.598
0.81816,5.722
0.88875,5.845
0.96228,5.822
1.00907,6.416
1.0604,6.166
1.1006,6.802
1.1712,6.926
1.24474,7.048
1.31829,7.317
1.3889,7.587
1.45952,7.857
1.53305,7.98
1.60366,8.25
1.6772,8.372
1.74781,8.642
1.82135,8.765
1.89196,9.035
1.9655,9.157
2.03614,9.72
2.10677,10.137
2.17741,10.7
2.24805,11.263
2.3187,11.826
2.38935,12.536
2.46001,13.245
2.53068,14.101
2.59845,15.251
2.66328,16.548
2.72521,18.14
2.78422,20.025
2.83739,22.205
2.88763,24.533
2.92058,26.491
2.95278,28.907
2.98254,32.267
3.0123,35.627
3.03619,39.135
3.05714,42.644
3.07515,46.154
3.09316,49.665
3.11117,53.175
3.12626,56.832
3.14133,60.344
3.15641,64.001
3.16851,67.22
3.18359,70.878
3.19572,74.39
3.20786,78.049
3.22293,81.56
3.23802,85.217
3.25309,88.729
3.27111,92.385
3.29499,95.747
3.32767,98.959
3.37502,101.728
3.43982,102.732
3.50733,101.392
3.56889,99.467
3.62157,96.959
3.67721,94.744
3.73282,92.088
3.7855,89.581
3.83523,87.074
3.88497,84.567
3.93763,81.913
3.98737,79.406
4.03413,76.608
4.08386,73.954
4.13359,71.448
4.18331,68.794
4.23304,66.141
4.27983,63.635
4.33249,60.981
4.38517,58.474
4.43786,56.112
4.4935,53.75
4.54618,51.242
4.59885,48.735
4.65153,46.227
4.70128,43.867
4.7569,41.358
4.80959,38.997
