x,Curve1
0.00152,15.002
0.14936,17.294
0.2176,21.514
0.27026,27.165
0.32716,40.359
0.36272,53.559
0.37566,60.787
0.38835,67.75
0.41251,81.067
0.41941,87.533
0.43819,94.816
0.48291,100.075
0.54053,95.34
0.57606,88.36
0.60454,82.66
0.64097,76.434
0.67566,69.978
0.71012,62.869
0.73967,57.298
0.81079,44.615
0.88903,31.931
0.96726,19.797
1.05261,7.661
1.13084,-2.821
1.2802,-9.472
1.458,-11.178
1.63581,-11.232
1.81362,-11.286
1.99142,-11.34
2.16211,-10.291
2.33992,-9.795
2.51061,-9.297
2.68842,-8.8
2.85911,-8.302
3.04544,-7.804
3.22184,-7.311
3.39964,-6.265
3.57033,-6.317
3.74103,-5.818
3.91883,-4.771
