x,Curve1
0.0004,0.4286
0.107,0.4135
0.4398,0.4839
0.7459,0.6861
0.9846,1.3499
1.1166,2.1113
1.1953,2.9051
1.2874,3.6991
1.366,4.5259
1.4504,5.5771
1.492,5.9971
1.5759,6.6757
1.6679,7.4697
1.7599,8.2636
1.852,9.0576
1.9573,9.8518
2.0627,10.6129
2.1948,11.3743
2.3668,12.1033
2.6058,12.6019
2.7611,12.5942
2.9257,12.4409
3.1529,11.8824
3.3404,11.1911
3.488,10.4664
3.649,9.7088
3.7966,8.984
3.9575,8.2594
4.1317,7.568
4.3059,6.8767
4.4933,6.2185
4.6739,5.6923
4.7809,5.3634
4.908,5.0348
5.1352,4.5093
5.389,3.9841
5.6428,3.4919
5.9364,3.0664
6.23,2.7069
6.5102,2.3472
6.8169,2.087
7.1237,1.8267
7.4436,1.6327
7.7635,1.4718
8.07,1.3437
8.3766,1.1825
8.6964,1.0546
9.0629,0.8942
9.3627,0.7991
9.6824,0.7372
10.0555,0.6595
10.3752,0.6141
10.6949,0.5523
11.0812,0.5243
11.4009,0.4955
11.7206,0.4666
12.0402,0.4543
12.3599,0.442
12.6929,0.4298
13.0525,0.4015
13.3722,0.3727
13.6919,0.3273
15.0904,0.2796
15.41,0.3168
15.7163,0.3043
16.0493,0.2921
16.369,0.2798
16.7019,0.2677
17.0615,0.2724
17.3945,0.2767
17.7274,0.2811
18.0737,0.3187
18.3933,0.3229
18.7263,0.3272
19.0525,0.3315
19.4055,0.3361
19.6053,0.3057
19.8584,0.2925
20.0781,0.2954
20.3045,0.2984
20.6841,0.2868
21.037,0.3245
21.3566,0.3287
