x,Curve1
0.0466,14.749
0.3532,14.097
0.5665,19.962
0.6865,27.782
0.7665,35.602
0.8065,43.748
0.8465,51.569
0.8677,57.414
0.8889,63.103
0.9101,66.724
0.9265,73.4
0.9665,81.546
1.0065,89.692
1.0598,97.512
1.1429,101.897
1.2732,100.119
1.4598,93.602
1.6065,86.108
1.7398,78.613
1.8998,71.445
2.0464,64.276
2.1931,57.108
2.3664,49.939
2.5264,42.771
2.6997,35.928
2.8597,28.76
3.0064,21.591
3.1397,14.097
3.2169,8.276
3.3228,1.034
3.4074,-4.655
3.5498,-8.5
3.7263,-11.319
4.0463,-11.645
4.3796,-11.645
4.7129,-11.645
5.0463,-11.645
5.3796,-11.319
5.7129,-10.993
6.0329,-10.667
6.3528,-10.015
6.6862,-9.69
7.0195,-9.364
7.3528,-9.364
7.6861,-9.038
8.0061,-8.712
8.3394,-8.386
8.6594,-7.735
8.9793,-7.409
9.2993,-7.083
9.6193,-6.431
9.9393,-6.431
10.2726,-6.105
10.5792,-5.779
10.8992,-5.779
11.2325,-5.128
11.5658,-4.073
11.8937,-3.038
12.1925,-2.712
12.5258,-2.712
12.8591,-2.195
13.1791,-1.869
13.4991,-1.869
13.8324,-1.869
14.139,-2.521
14.4723,-2.195
14.7923,-2.195
15.1256,-2.195
15.4456,-1.869
15.7656,-1.869
16.0989,-1.544
16.4189,-1.218
16.7522,-0.892
17.0855,-0.892
17.4055,-0.892
17.7255,-0.566
18.0588,-0.24
18.3788,-0.566
18.6987,-0.566
19.0187,-0.24
19.352,-0.24
19.6853,-0.24
