x,Curve1
0.0045,14.905
0.2779,14.748
0.4727,17.526
0.5652,21.203
0.6453,24.879
0.6874,28.701
0.7298,32.371
0.7594,36.191
0.7889,40.012
0.806,43.83
0.823,47.649
0.8463,51.957
0.8528,56.381
0.8682,60.326
0.8738,65.21
0.8874,73.694
0.8908,69.028
0.8969,78.034
0.9054,86.583
0.914,81.853
0.9236,94.218
0.9303,90.403
0.9439,98.037
0.9731,102.049
0.9997,105.717
1.0767,107.569
1.1772,105.704
1.2848,102.21
1.3803,98.562
1.451,94.757
1.5339,91.106
1.6169,87.456
1.6876,83.651
1.7705,80
1.8412,76.195
1.9116,72.543
1.9948,68.74
2.0652,65.088
2.1481,61.437
2.2311,57.787
2.3143,53.984
2.3972,50.333
2.4801,46.683
2.5634,42.88
2.6338,39.227
2.7042,35.575
2.7874,31.772
2.8578,28.119
2.9285,24.314
3.0114,20.664
3.0947,16.861
3.1525,13.206
3.2232,9.401
3.2811,5.747
3.3106,3.615
3.3688,-0.192
3.4017,-2.457
3.453,-4.453
3.561,-8.1
3.7304,-11.126
4.0325,-11.69
4.3211,-11.799
4.6345,-11.75
4.9475,-11.55
5.248,-11.351
5.5486,-11.152
5.8487,-10.8
6.1618,-10.6
6.4748,-10.399
6.7879,-10.198
7.0881,-9.846
7.4011,-9.646
7.7013,-9.294
8.0012,-8.79
8.3017,-8.591
8.6144,-8.238
8.9146,-7.887
9.2148,-7.535
9.515,-7.184
10.4654,-5.969
10.7659,-5.77
11.0786,-5.417
11.3788,-5.065
11.6918,-4.864
11.992,-4.513
12.2919,-4.009
12.5924,-3.81
12.9054,-3.609
13.1931,-3.26
13.4933,-2.908
13.7938,-2.709
14.0943,-2.511
14.3179,-2.413
14.5228,-2.189
14.7433,-1.866
14.9955,-1.635
15.2717,-1.497
15.5481,-1.454
15.8712,-1.116
16.116,-1.078
