x,Curve1
0.03379,1.8698
0.15733,1.7441
0.28081,1.669
0.40943,1.5941
0.53291,1.5191
0.66151,1.4695
0.78496,1.4198
0.91355,1.3702
1.037,1.3206
1.1656,1.271
1.28391,1.2213
1.40736,1.1717
1.53595,1.1221
1.65943,1.0471
1.78802,0.9975
1.9115,0.9225
2.03496,0.8728
2.16355,0.8232
2.28703,0.7482
2.41048,0.6986
2.53907,0.649
2.66767,0.5994
2.79112,0.5498
2.9146,0.4748
3.04319,0.4252
3.1667,0.3248
3.29015,0.2751
3.4136,0.2255
3.5422,0.1759
3.66568,0.1009
3.78916,0.0259
4.01966,-0.0643
4.23152,-0.1478
4.36012,-0.1974
4.48354,-0.2216
4.60696,-0.2459
4.86671,-0.3185
5.0904,-0.3684
5.21899,-0.418
5.34242,-0.4422
5.46584,-0.4665
5.5944,-0.4907
5.72291,-0.4642
5.84633,-0.4884
5.97487,-0.4873
6.10343,-0.5115
6.232,-0.5357
6.36053,-0.5345
6.48907,-0.5334
6.61763,-0.5576
6.73592,-0.5819
6.85931,-0.5808
6.98785,-0.5796
7.11638,-0.5784
7.23978,-0.5773
7.36831,-0.5761
7.49679,-0.5242
7.62533,-0.5231
7.74869,-0.4966
7.87209,-0.4954
7.99551,-0.5197
8.11888,-0.4932
8.2423,-0.5175
8.37083,-0.5163
8.4942,-0.4898
8.62274,-0.4886
8.75124,-0.4621
8.87975,-0.4355
9.00317,-0.4598
9.12657,-0.4587
9.24993,-0.4322
9.37847,-0.431
9.50701,-0.4299
9.63551,-0.4033
9.76402,-0.3768
