x,Curve1
0.03682,-9.9311
0.12885,-9.4734
0.21577,-9.0412
0.3078,-8.5836
0.39986,-8.1513
0.49197,-7.7698
0.58923,-7.3882
0.68646,-6.9813
0.78889,-6.6251
0.89132,-6.2689
0.99889,-5.9126
1.10648,-5.5817
1.21408,-5.2508
1.32685,-4.9452
1.43445,-4.6143
1.54725,-4.3342
1.66001,-4.0286
1.77281,-3.7484
1.89075,-3.4682
2.00874,-3.2387
2.12671,-2.9838
2.24471,-2.7544
2.3627,-2.5249
2.47558,-2.3208
2.59872,-2.0913
2.71674,-1.8872
2.83474,-1.6578
2.95793,-1.479
3.07084,-1.3003
3.1889,-1.1216
3.30695,-0.9429
3.42503,-0.7895
3.54311,-0.6362
3.66119,-0.4829
3.77927,-0.3295
4.00944,-0.0442
4.23115,0.1821
4.3544,0.3102
4.5108,0.4639
4.64715,0.592
4.77043,0.6946
4.89371,0.7972
5.01699,0.8999
5.14024,1.0279
5.26869,1.1052
5.39197,1.2078
5.5153,1.2597
5.63858,1.3623
5.76189,1.4396
5.89034,1.5169
6.01368,1.5687
6.14216,1.6207
6.2655,1.6725
6.38883,1.7244
6.51731,1.7763
6.64585,1.7775
6.76404,1.8293
6.89255,1.8559
7.01592,1.8824
7.14445,1.8835
7.27296,1.9101
7.39633,1.9366
7.52483,1.9631
7.64826,1.9388
7.77679,1.94
7.90021,1.9158
8.02878,1.8915
8.15223,1.8419
8.27565,1.8176
8.40422,1.7934
8.52767,1.7438
8.65626,1.6942
8.77969,1.6699
8.90319,1.5695
9.03179,1.52
9.15527,1.4449
9.27875,1.3699
9.40223,1.2949
9.5206,1.1945
9.64408,1.1195
9.76758,1.0191
9.89107,0.944
