position,label,x,y
1,"(null)",5.79900000e+04,-8.63319206e+01
1,"(null)",5.79910000e+04,-8.63319394e+01
1,"(null)",5.79920000e+04,-8.63319582e+01
1,"(null)",5.79930000e+04,-8.63319768e+01
1,"(null)",5.79940000e+04,-8.63319954e+01
1,"(null)",5.79950000e+04,-8.63320138e+01
1,"(null)",5.79960000e+04,-8.63320322e+01
1,"(null)",5.79970000e+04,-8.63320504e+01
1,"(null)",5.79980000e+04,-8.63320686e+01
1,"(null)",5.79990000e+04,-8.63320866e+01
1,"(null)",5.80000000e+04,-8.63321045e+01
1,"(null)",5.80010000e+04,1.24067560e+01
1,"(null)",5.80020000e+04,3.13649425e+01
1,"(null)",5.80030000e+04,2.38795580e+01
1,"(null)",5.80040000e+04,1.96851492e+01
1,"(null)",5.80050000e+04,1.71649874e+01
1,"(null)",5.80060000e+04,1.56085432e+01
1,"(null)",5.80070000e+04,1.46813684e+01
1,"(null)",5.80080000e+04,1.41982135e+01
1,"(null)",5.80090000e+04,1.40379401e+01
1,"(null)",5.80100000e+04,1.41111816e+01
1,"(null)",5.80110000e+04,1.43486323e+01
1,"(null)",5.80120000e+04,1.46965313e+01
1,"(null)",5.80130000e+04,1.51142262e+01
1,"(null)",5.80140000e+04,1.55720829e+01
1,"(null)",5.80150000e+04,1.60493443e+01
1,"(null)",5.80160000e+04,1.65320149e+01
1,"(null)",5.80170000e+04,1.70109480e+01
1,"(null)",5.80180000e+04,1.74797019e+01
1,"(null)",5.80190000e+04,1.79330540e+01
1,"(null)",5.80200000e+04,1.83677607e+01
1,"(null)",5.80210000e+04,1.87818679e+01
1,"(null)",5.80220000e+04,1.91741227e+01
1,"(null)",5.80230000e+04,1.95436535e+01
1,"(null)",5.80240000e+04,1.98898197e+01
1,"(null)",5.80250000e+04,2.02121572e+01
1,"(null)",5.80260000e+04,2.05103717e+01
1,"(null)",5.80270000e+04,2.07843506e+01
1,"(null)",5.80280000e+04,2.10341766e+01
1,"(null)",5.80290000e+04,2.12601342e+01
1,"(null)",5.80300000e+04,2.14627069e+01
1,"(null)",5.80310000e+04,2.16425642e+01
1,"(null)",5.80320000e+04,2.18005419e+01
1,"(null)",5.80330000e+04,2.19376148e+01
1,"(null)",5.80340000e+04,2.20548679e+01
1,"(null)",5.80350000e+04,2.21534661e+01
1,"(null)",5.80360000e+04,2.22346240e+01
1,"(null)",5.80370000e+04,2.22995796e+01
1,"(null)",5.80380000e+04,2.23495693e+01
1,"(null)",5.80390000e+04,2.23858080e+01
1,"(null)",5.80400000e+04,2.24094727e+01
1,"(null)",5.80410000e+04,2.24216890e+01
1,"(null)",5.80420000e+04,2.24235222e+01
1,"(null)",5.80430000e+04,2.24159710e+01
1,"(null)",5.80440000e+04,2.23999639e+01
1,"(null)",5.80450000e+04,2.23763576e+01
1,"(null)",5.80460000e+04,2.23459375e+01
1,"(null)",5.80470000e+04,2.23094193e+01
1,"(null)",5.80480000e+04,2.22674522e+01
1,"(null)",5.80490000e+04,2.22206218e+01
1,"(null)",5.80500000e+04,2.21694546e+01
1,"(null)",5.80510000e+04,2.21144218e+01
1,"(null)",5.80520000e+04,2.20559440e+01
1,"(null)",5.80530000e+04,2.19943949e+01
1,"(null)",5.80540000e+04,2.19301065e+01
1,"(null)",5.80550000e+04,2.18633719e+01
1,"(null)",5.80560000e+04,2.17944501e+01
1,"(null)",5.80570000e+04,2.17235688e+01
1,"(null)",5.80580000e+04,2.16509283e+01
1,"(null)",5.80590000e+04,2.15767038e+01
1,"(null)",5.80600000e+04,2.15010488e+01
1,"(null)",5.80610000e+04,2.14240970e+01
1,"(null)",5.80620000e+04,2.13459649e+01
1,"(null)",5.80630000e+04,2.12667538e+01
1,"(null)",5.80640000e+04,2.11865512e+01
1,"(null)",5.80650000e+04,2.11054330e+01
1,"(null)",5.80660000e+04,2.10234644e+01
1,"(null)",5.80670000e+04,2.09407013e+01
1,"(null)",5.80680000e+04,2.08571916e+01
1,"(null)",5.80690000e+04,2.07729761e+01
1,"(null)",5.80700000e+04,2.06880891e+01
1,"(null)",5.80710000e+04,2.06025595e+01
1,"(null)",5.80720000e+04,2.05164116e+01
1,"(null)",5.80730000e+04,2.04296650e+01
1,"(null)",5.80740000e+04,2.03423359e+01
1,"(null)",5.80750000e+04,2.02544372e+01
1,"(null)",5.80760000e+04,2.01659786e+01
1,"(null)",5.80770000e+04,2.00769677e+01
1,"(null)",5.80780000e+04,1.99874096e+01
1,"(null)",5.80790000e+04,1.98973076e+01
1,"(null)",5.80800000e+04,1.98066630e+01
1,"(null)",5.80810000e+04,1.97154759e+01
1,"(null)",5.80820000e+04,1.96237448e+01
1,"(null)",5.80830000e+04,1.95314671e+01
1,"(null)",5.80840000e+04,1.94386391e+01
1,"(null)",5.80850000e+04,1.93452562e+01
1,"(null)",5.80860000e+04,1.92513129e+01
1,"(null)",5.80870000e+04,1.91568028e+01
1,"(null)",5.80880000e+04,1.90617191e+01
1,"(null)",5.80890000e+04,1.89660542e+01
1,"(null)",5.80900000e+04,1.88697999e+01
1,"(null)",5.80910000e+04,1.87729475e+01
1,"(null)",5.80920000e+04,1.86754878e+01
1,"(null)",5.80930000e+04,1.85774113e+01
1,"(null)",5.80940000e+04,1.84787080e+01
1,"(null)",5.80950000e+04,1.83793676e+01
1,"(null)",5.80960000e+04,1.82793791e+01
1,"(null)",5.80970000e+04,1.81787314e+01
1,"(null)",5.80980000e+04,1.80774131e+01
1,"(null)",5.80990000e+04,1.79754123e+01
1,"(null)",5.81000000e+04,1.78727171e+01
1,"(null)",5.81010000e+04,1.77693149e+01
1,"(null)",5.81020000e+04,1.76651932e+01
1,"(null)",5.81030000e+04,1.75603389e+01
1,"(null)",5.81040000e+04,1.74547387e+01
1,"(null)",5.81050000e+04,1.73483792e+01
1,"(null)",5.81060000e+04,1.72412465e+01
1,"(null)",5.81070000e+04,1.71333264e+01
1,"(null)",5.81080000e+04,1.70246046e+01
1,"(null)",5.81090000e+04,1.69150663e+01
1,"(null)",5.81100000e+04,1.68046966e+01
1,"(null)",5.81110000e+04,1.66934802e+01
1,"(null)",5.81120000e+04,1.65814015e+01
1,"(null)",5.81130000e+04,1.64684447e+01
1,"(null)",5.81140000e+04,1.63545935e+01
1,"(null)",5.81150000e+04,1.62398315e+01
1,"(null)",5.81160000e+04,1.61241419e+01
1,"(null)",5.81170000e+04,1.60075076e+01
1,"(null)",5.81180000e+04,1.58899110e+01
1,"(null)",5.81190000e+04,1.57713345e+01
1,"(null)",5.81200000e+04,1.56517600e+01
1,"(null)",5.81210000e+04,1.55311689e+01
1,"(null)",5.81220000e+04,1.54095424e+01
1,"(null)",5.81230000e+04,1.52868614e+01
1,"(null)",5.81240000e+04,1.51631064e+01
1,"(null)",5.81250000e+04,1.50382574e+01
1,"(null)",5.81260000e+04,1.49122941e+01
1,"(null)",5.81270000e+04,1.47851960e+01
1,"(null)",5.81280000e+04,1.46569418e+01
1,"(null)",5.81290000e+04,1.45275101e+01
1,"(null)",5.81300000e+04,1.43968791e+01
1,"(null)",5.81310000e+04,1.42650264e+01
1,"(null)",5.81320000e+04,1.41319293e+01
1,"(null)",5.81330000e+04,1.39975645e+01
1,"(null)",5.81340000e+04,1.38619086e+01
1,"(null)",5.81350000e+04,1.37249373e+01
1,"(null)",5.81360000e+04,1.35866261e+01
1,"(null)",5.81370000e+04,1.34469500e+01
1,"(null)",5.81380000e+04,1.33058835e+01
1,"(null)",5.81390000e+04,1.31634005e+01
1,"(null)",5.81400000e+04,1.30194745e+01
1,"(null)",5.81410000e+04,1.28740786e+01
1,"(null)",5.81420000e+04,1.27271851e+01
1,"(null)",5.81430000e+04,1.25787660e+01
1,"(null)",5.81440000e+04,1.24287926e+01
1,"(null)",5.81450000e+04,1.22772356e+01
1,"(null)",5.81460000e+04,1.21240654e+01
1,"(null)",5.81470000e+04,1.19692516e+01
1,"(null)",5.81480000e+04,1.18127632e+01
1,"(null)",5.81490000e+04,1.16545688e+01
1,"(null)",5.81500000e+04,1.14946360e+01
1,"(null)",5.81510000e+04,1.13329323e+01
1,"(null)",5.81520000e+04,1.11694241e+01
1,"(null)",5.81530000e+04,1.10040774e+01
1,"(null)",5.81540000e+04,1.08368574e+01
1,"(null)",5.81550000e+04,1.06677288e+01
1,"(null)",5.81560000e+04,1.04966555e+01
1,"(null)",5.81570000e+04,1.03236007e+01
1,"(null)",5.81580000e+04,1.01485269e+01
1,"(null)",5.81590000e+04,9.97139597e+00
1,"(null)",5.81600000e+04,9.79216887e+00
1,"(null)",5.81610000e+04,9.61080595e+00
1,"(null)",5.81620000e+04,9.42726675e+00
1,"(null)",5.81630000e+04,9.24151004e+00
1,"(null)",5.81640000e+04,9.05349380e+00
1,"(null)",5.81650000e+04,8.86317521e+00
1,"(null)",5.81660000e+04,8.67051061e+00
1,"(null)",5.81670000e+04,8.47545552e+00
1,"(null)",5.81680000e+04,8.27796460e+00
1,"(null)",5.81690000e+04,8.07799163e+00
1,"(null)",5.81700000e+04,7.87548952e+00
1,"(null)",5.81710000e+04,7.67041022e+00
1,"(null)",5.81720000e+04,7.46270479e+00
1,"(null)",5.81730000e+04,7.25232329e+00
1,"(null)",5.81740000e+04,7.03921479e+00
1,"(null)",5.81750000e+04,6.82332733e+00
1,"(null)",5.81760000e+04,6.60460791e+00
1,"(null)",5.81770000e+04,6.38300238e+00
1,"(null)",5.81780000e+04,6.15845545e+00
1,"(null)",5.81790000e+04,5.93091063e+00
1,"(null)",5.81800000e+04,5.70031013e+00
1,"(null)",5.81810000e+04,5.46659482e+00
1,"(null)",5.81820000e+04,5.22970412e+00
1,"(null)",5.81830000e+04,4.98957595e+00
1,"(null)",5.81840000e+04,4.74614655e+00
1,"(null)",5.81850000e+04,4.49935412e+00
1,"(null)",5.81860000e+04,4.24912367e+00
1,"(null)",5.81870000e+04,3.99538953e+00
1,"(null)",5.81880000e+04,3.73807984e+00
1,"(null)",5.81890000e+04,3.47712029e+00
1,"(null)",5.81900000e+04,3.21243380e+00
1,"(null)",5.81910000e+04,2.94394026e+00
1,"(null)",5.81920000e+04,2.67155619e+00
1,"(null)",5.81930000e+04,2.39519442e+00
1,"(null)",5.81940000e+04,2.11476368e+00
1,"(null)",5.81950000e+04,1.83016813e+00
1,"(null)",5.81960000e+04,1.54130690e+00
1,"(null)",5.81970000e+04,1.24807355e+00
1,"(null)",5.81980000e+04,9.50355480e-01
1,"(null)",5.81990000e+04,6.48033272e-01
1,"(null)",5.82000000e+04,3.40980017e-01
1,"(null)",5.82010000e+04,2.90605592e-02
1,"(null)",5.82020000e+04,-2.87869302e-01
1,"(null)",5.82030000e+04,-6.09963661e-01
1,"(null)",5.82040000e+04,-9.37387404e-01
1,"(null)",5.82050000e+04,-1.27031715e+00
1,"(null)",5.82060000e+04,-1.60894222e+00
1,"(null)",5.82070000e+04,-1.95346567e+00
1,"(null)",5.82080000e+04,-2.30410532e+00
1,"(null)",5.82090000e+04,-2.66109480e+00
1,"(null)",5.82100000e+04,-3.02468463e+00
1,"(null)",5.82110000e+04,-3.39514326e+00
1,"(null)",5.82120000e+04,-3.77275816e+00
1,"(null)",5.82130000e+04,-4.15783675e+00
1,"(null)",5.82140000e+04,-4.55070746e+00
1,"(null)",5.82150000e+04,-4.95172057e+00
1,"(null)",5.82160000e+04,-5.36124904e+00
1,"(null)",5.82170000e+04,-5.77968923e+00
1,"(null)",5.82180000e+04,-6.20746146e+00
1,"(null)",5.82190000e+04,-6.64501045e+00
1,"(null)",5.82200000e+04,-7.09280550e+00
1,"(null)",5.82210000e+04,-7.55134049e+00
1,"(null)",5.82220000e+04,-8.02113361e+00
1,"(null)",5.82230000e+04,-8.50272676e+00
1,"(null)",5.82240000e+04,-8.99668461e+00
1,"(null)",5.82250000e+04,-9.50359327e+00
1,"(null)",5.82260000e+04,-1.00240585e+01
1,"(null)",5.82270000e+04,-1.05587034e+01
1,"(null)",5.82280000e+04,-1.11081658e+01
1,"(null)",5.82290000e+04,-1.16730950e+01
1,"(null)",5.82300000e+04,-1.22541477e+01
1,"(null)",5.82310000e+04,-1.28519840e+01
1,"(null)",5.82320000e+04,-1.34672629e+01
1,"(null)",5.82330000e+04,-1.41006369e+01
1,"(null)",5.82340000e+04,-1.47527470e+01
1,"(null)",5.82350000e+04,-1.54242178e+01
1,"(null)",5.82360000e+04,-1.61156523e+01
1,"(null)",5.82370000e+04,-1.68276282e+01
1,"(null)",5.82380000e+04,-1.75606941e+01
1,"(null)",5.82390000e+04,-1.83153675e+01
1,"(null)",5.82400000e+04,-1.90921350e+01
1,"(null)",5.82410000e+04,-1.98914534e+01
1,"(null)",5.82420000e+04,-2.07137539e+01
1,"(null)",5.82430000e+04,-2.15594491e+01
1,"(null)",5.82440000e+04,-2.24289422e+01
1,"(null)",5.82450000e+04,-2.33226398e+01
