position,label,x,y
1,"(null)",5.79900000e+04,5.60861506e-05
1,"(null)",5.79910000e+04,5.60823640e-05
1,"(null)",5.79920000e+04,5.60785999e-05
1,"(null)",5.79930000e+04,5.60748580e-05
1,"(null)",5.79940000e+04,5.60711383e-05
1,"(null)",5.79950000e+04,5.60674406e-05
1,"(null)",5.79960000e+04,5.60637648e-05
1,"(null)",5.79970000e+04,5.60601108e-05
1,"(null)",5.79980000e+04,5.60564783e-05
1,"(null)",5.79990000e+04,5.60528673e-05
1,"(null)",5.80000000e+04,5.60492777e-05
1,"(null)",5.80010000e+04,5.64417447e-05
1,"(null)",5.80020000e+04,1.64865950e-04
1,"(null)",5.80030000e+04,3.34997512e-04
1,"(null)",5.80040000e+04,5.04507248e-04
1,"(null)",5.80050000e+04,6.26551083e-04
1,"(null)",5.80060000e+04,7.06481015e-04
1,"(null)",5.80070000e+04,7.55515958e-04
1,"(null)",5.80080000e+04,7.83670049e-04
1,"(null)",5.80090000e+04,7.98376322e-04
1,"(null)",5.80100000e+04,8.04663016e-04
1,"(null)",5.80110000e+04,8.05765987e-04
1,"(null)",5.80120000e+04,8.03711950e-04
1,"(null)",5.80130000e+04,7.99751834e-04
1,"(null)",5.80140000e+04,7.94651654e-04
1,"(null)",5.80150000e+04,7.88878462e-04
1,"(null)",5.80160000e+04,7.82716356e-04
1,"(null)",5.80170000e+04,7.76337932e-04
1,"(null)",5.80180000e+04,7.69847743e-04
1,"(null)",5.80190000e+04,7.63308784e-04
1,"(null)",5.80200000e+04,7.56759375e-04
1,"(null)",5.80210000e+04,7.50222944e-04
1,"(null)",5.80220000e+04,7.43713891e-04
1,"(null)",5.80230000e+04,7.37241132e-04
1,"(null)",5.80240000e+04,7.30810253e-04
1,"(null)",5.80250000e+04,7.24424808e-04
1,"(null)",5.80260000e+04,7.18087112e-04
1,"(null)",5.80270000e+04,7.11798707e-04
1,"(null)",5.80280000e+04,7.05560656e-04
1,"(null)",5.80290000e+04,6.99373704e-04
1,"(null)",5.80300000e+04,6.93238245e-04
1,"(null)",5.80310000e+04,6.87154482e-04
1,"(null)",5.80320000e+04,6.81122560e-04
1,"(null)",5.80330000e+04,6.75142578e-04
1,"(null)",5.80340000e+04,6.69214583e-04
1,"(null)",5.80350000e+04,6.63338578e-04
1,"(null)",5.80360000e+04,6.57514518e-04
1,"(null)",5.80370000e+04,6.51742320e-04
1,"(null)",5.80380000e+04,6.46021860e-04
1,"(null)",5.80390000e+04,6.40352981e-04
1,"(null)",5.80400000e+04,6.34735491e-04
1,"(null)",5.80410000e+04,6.29169173e-04
1,"(null)",5.80420000e+04,6.23653783e-04
1,"(null)",5.80430000e+04,6.18189052e-04
1,"(null)",5.80440000e+04,6.12774695e-04
1,"(null)",5.80450000e+04,6.07410408e-04
1,"(null)",5.80460000e+04,6.02095873e-04
1,"(null)",5.80470000e+04,5.96830760e-04
1,"(null)",5.80480000e+04,5.91614729e-04
1,"(null)",5.80490000e+04,5.86447430e-04
1,"(null)",5.80500000e+04,5.81328510e-04
1,"(null)",5.80510000e+04,5.76257605e-04
1,"(null)",5.80520000e+04,5.71234354e-04
1,"(null)",5.80530000e+04,5.66258387e-04
1,"(null)",5.80540000e+04,5.61329337e-04
1,"(null)",5.80550000e+04,5.56446832e-04
1,"(null)",5.80560000e+04,5.51610504e-04
1,"(null)",5.80570000e+04,5.46819982e-04
1,"(null)",5.80580000e+04,5.42074898e-04
1,"(null)",5.80590000e+04,5.37374885e-04
1,"(null)",5.80600000e+04,5.32719577e-04
1,"(null)",5.80610000e+04,5.28108613e-04
1,"(null)",5.80620000e+04,5.23541630e-04
1,"(null)",5.80630000e+04,5.19018272e-04
1,"(null)",5.80640000e+04,5.14538184e-04
1,"(null)",5.80650000e+04,5.10101014e-04
1,"(null)",5.80660000e+04,5.05706413e-04
1,"(null)",5.80670000e+04,5.01354036e-04
1,"(null)",5.80680000e+04,4.97043540e-04
1,"(null)",5.80690000e+04,4.92774586e-04
1,"(null)",5.80700000e+04,4.88546839e-04
1,"(null)",5.80710000e+04,4.84359966e-04
1,"(null)",5.80720000e+04,4.80213639e-04
1,"(null)",5.80730000e+04,4.76107530e-04
1,"(null)",5.80740000e+04,4.72041317e-04
1,"(null)",5.80750000e+04,4.68014682e-04
1,"(null)",5.80760000e+04,4.64027306e-04
1,"(null)",5.80770000e+04,4.60078877e-04
1,"(null)",5.80780000e+04,4.56169084e-04
1,"(null)",5.80790000e+04,4.52297620e-04
1,"(null)",5.80800000e+04,4.48464179e-04
1,"(null)",5.80810000e+04,4.44668460e-04
1,"(null)",5.80820000e+04,4.40910163e-04
1,"(null)",5.80830000e+04,4.37188991e-04
1,"(null)",5.80840000e+04,4.33504650e-04
1,"(null)",5.80850000e+04,4.29856849e-04
1,"(null)",5.80860000e+04,4.26245298e-04
1,"(null)",5.80870000e+04,4.22669710e-04
1,"(null)",5.80880000e+04,4.19129800e-04
1,"(null)",5.80890000e+04,4.15625286e-04
1,"(null)",5.80900000e+04,4.12155887e-04
1,"(null)",5.80910000e+04,4.08721323e-04
1,"(null)",5.80920000e+04,4.05321320e-04
1,"(null)",5.80930000e+04,4.01955602e-04
1,"(null)",5.80940000e+04,3.98623895e-04
1,"(null)",5.80950000e+04,3.95326134e-04
1,"(null)",5.80960000e+04,3.92061638e-04
1,"(null)",5.80970000e+04,3.88830346e-04
1,"(null)",5.80980000e+04,3.85631991e-04
1,"(null)",5.80990000e+04,3.82466310e-04
1,"(null)",5.81000000e+04,3.79333037e-04
1,"(null)",5.81010000e+04,3.76231912e-04
1,"(null)",5.81020000e+04,3.73162674e-04
1,"(null)",5.81030000e+04,3.70125064e-04
1,"(null)",5.81040000e+04,3.67118824e-04
1,"(null)",5.81050000e+04,3.64143697e-04
1,"(null)",5.81060000e+04,3.61199427e-04
1,"(null)",5.81070000e+04,3.58285761e-04
1,"(null)",5.81080000e+04,3.55402445e-04
1,"(null)",5.81090000e+04,3.52549225e-04
1,"(null)",5.81100000e+04,3.49725853e-04
1,"(null)",5.81110000e+04,3.46932076e-04
1,"(null)",5.81120000e+04,3.44167646e-04
1,"(null)",5.81130000e+04,3.41432314e-04
1,"(null)",5.81140000e+04,3.38725833e-04
1,"(null)",5.81150000e+04,3.36047956e-04
1,"(null)",5.81160000e+04,3.33398438e-04
1,"(null)",5.81170000e+04,3.30777033e-04
1,"(null)",5.81180000e+04,3.28183498e-04
1,"(null)",5.81190000e+04,3.25617589e-04
1,"(null)",5.81200000e+04,3.23079064e-04
1,"(null)",5.81210000e+04,3.20567681e-04
1,"(null)",5.81220000e+04,3.18083200e-04
1,"(null)",5.81230000e+04,3.15625379e-04
1,"(null)",5.81240000e+04,3.13193981e-04
1,"(null)",5.81250000e+04,3.10788765e-04
1,"(null)",5.81260000e+04,3.08409494e-04
1,"(null)",5.81270000e+04,3.06055931e-04
1,"(null)",5.81280000e+04,3.03727840e-04
1,"(null)",5.81290000e+04,3.01424985e-04
1,"(null)",5.81300000e+04,2.99147130e-04
1,"(null)",5.81310000e+04,2.96894042e-04
1,"(null)",5.81320000e+04,2.94665488e-04
1,"(null)",5.81330000e+04,2.92461233e-04
1,"(null)",5.81340000e+04,2.90281047e-04
1,"(null)",5.81350000e+04,2.88124699e-04
1,"(null)",5.81360000e+04,2.85991957e-04
1,"(null)",5.81370000e+04,2.83882592e-04
1,"(null)",5.81380000e+04,2.81796375e-04
1,"(null)",5.81390000e+04,2.79733079e-04
1,"(null)",5.81400000e+04,2.77692476e-04
1,"(null)",5.81410000e+04,2.75674339e-04
1,"(null)",5.81420000e+04,2.73678443e-04
1,"(null)",5.81430000e+04,2.71704563e-04
1,"(null)",5.81440000e+04,2.69752475e-04
1,"(null)",5.81450000e+04,2.67821956e-04
1,"(null)",5.81460000e+04,2.65912785e-04
1,"(null)",5.81470000e+04,2.64024739e-04
1,"(null)",5.81480000e+04,2.62157599e-04
1,"(null)",5.81490000e+04,2.60311144e-04
1,"(null)",5.81500000e+04,2.58485158e-04
1,"(null)",5.81510000e+04,2.56679421e-04
1,"(null)",5.81520000e+04,2.54893719e-04
1,"(null)",5.81530000e+04,2.53127834e-04
1,"(null)",5.81540000e+04,2.51381553e-04
1,"(null)",5.81550000e+04,2.49654662e-04
1,"(null)",5.81560000e+04,2.47946948e-04
1,"(null)",5.81570000e+04,2.46258201e-04
1,"(null)",5.81580000e+04,2.44588210e-04
1,"(null)",5.81590000e+04,2.42936765e-04
1,"(null)",5.81600000e+04,2.41303659e-04
1,"(null)",5.81610000e+04,2.39688683e-04
1,"(null)",5.81620000e+04,2.38091634e-04
1,"(null)",5.81630000e+04,2.36512305e-04
1,"(null)",5.81640000e+04,2.34950492e-04
1,"(null)",5.81650000e+04,2.33405994e-04
1,"(null)",5.81660000e+04,2.31878609e-04
1,"(null)",5.81670000e+04,2.30368137e-04
1,"(null)",5.81680000e+04,2.28874378e-04
1,"(null)",5.81690000e+04,2.27397135e-04
1,"(null)",5.81700000e+04,2.25936212e-04
1,"(null)",5.81710000e+04,2.24491412e-04
1,"(null)",5.81720000e+04,2.23062541e-04
1,"(null)",5.81730000e+04,2.21649407e-04
1,"(null)",5.81740000e+04,2.20251818e-04
1,"(null)",5.81750000e+04,2.18869583e-04
1,"(null)",5.81760000e+04,2.17502513e-04
1,"(null)",5.81770000e+04,2.16150420e-04
1,"(null)",5.81780000e+04,2.14813117e-04
1,"(null)",5.81790000e+04,2.13490418e-04
1,"(null)",5.81800000e+04,2.12182139e-04
1,"(null)",5.81810000e+04,2.10888096e-04
1,"(null)",5.81820000e+04,2.09608108e-04
1,"(null)",5.81830000e+04,2.08341993e-04
1,"(null)",5.81840000e+04,2.07089573e-04
1,"(null)",5.81850000e+04,2.05850790e-04
1,"(null)",5.81860000e+04,2.04625222e-04
1,"(null)",5.81870000e+04,2.03412815e-04
1,"(null)",5.81880000e+04,2.02213395e-04
1,"(null)",5.81890000e+04,2.01026788e-04
1,"(null)",5.81900000e+04,1.99852819e-04
1,"(null)",5.81910000e+04,1.98691317e-04
1,"(null)",5.81920000e+04,1.97542111e-04
1,"(null)",5.81930000e+04,1.96405029e-04
1,"(null)",5.81940000e+04,1.95279902e-04
1,"(null)",5.81950000e+04,1.94166560e-04
1,"(null)",5.81960000e+04,1.93064835e-04
1,"(null)",5.81970000e+04,1.91974559e-04
1,"(null)",5.81980000e+04,1.90895563e-04
1,"(null)",5.81990000e+04,1.89827680e-04
1,"(null)",5.82000000e+04,1.88770742e-04
1,"(null)",5.82010000e+04,1.87724582e-04
1,"(null)",5.82020000e+04,1.86689033e-04
1,"(null)",5.82030000e+04,1.85663925e-04
1,"(null)",5.82040000e+04,1.84649091e-04
1,"(null)",5.82050000e+04,1.83644360e-04
1,"(null)",5.82060000e+04,1.82649564e-04
1,"(null)",5.82070000e+04,1.81664531e-04
1,"(null)",5.82080000e+04,1.80689089e-04
1,"(null)",5.82090000e+04,1.79723063e-04
1,"(null)",5.82100000e+04,1.78766281e-04
1,"(null)",5.82110000e+04,1.77818563e-04
1,"(null)",5.82120000e+04,1.76879732e-04
1,"(null)",5.82130000e+04,1.75949607e-04
1,"(null)",5.82140000e+04,1.75028006e-04
1,"(null)",5.82150000e+04,1.74114743e-04
1,"(null)",5.82160000e+04,1.73209630e-04
1,"(null)",5.82170000e+04,1.72312479e-04
1,"(null)",5.82180000e+04,1.71423096e-04
1,"(null)",5.82190000e+04,1.70541287e-04
1,"(null)",5.82200000e+04,1.69666856e-04
1,"(null)",5.82210000e+04,1.68799601e-04
1,"(null)",5.82220000e+04,1.67939323e-04
1,"(null)",5.82230000e+04,1.67085817e-04
1,"(null)",5.82240000e+04,1.66238879e-04
1,"(null)",5.82250000e+04,1.65398303e-04
1,"(null)",5.82260000e+04,1.64563881e-04
1,"(null)",5.82270000e+04,1.63735406e-04
1,"(null)",5.82280000e+04,1.62912674e-04
1,"(null)",5.82290000e+04,1.62095479e-04
1,"(null)",5.82300000e+04,1.61283618e-04
1,"(null)",5.82310000e+04,1.60476895e-04
1,"(null)",5.82320000e+04,1.59675114e-04
1,"(null)",5.82330000e+04,1.58878089e-04
1,"(null)",5.82340000e+04,1.58085639e-04
1,"(null)",5.82350000e+04,1.57297594e-04
1,"(null)",5.82360000e+04,1.56513793e-04
1,"(null)",5.82370000e+04,1.55734088e-04
1,"(null)",5.82380000e+04,1.54958344e-04
1,"(null)",5.82390000e+04,1.54186442e-04
1,"(null)",5.82400000e+04,1.53418277e-04
1,"(null)",5.82410000e+04,1.52653761e-04
1,"(null)",5.82420000e+04,1.51892826e-04
1,"(null)",5.82430000e+04,1.51135418e-04
1,"(null)",5.82440000e+04,1.50381504e-04
1,"(null)",5.82450000e+04,1.49631066e-04
1,"(null)",5.82460000e+04,1.48884103e-04
1,"(null)",5.82470000e+04,1.48140628e-04
1,"(null)",5.82480000e+04,1.47400670e-04
1,"(null)",5.82490000e+04,1.46664265e-04
1,"(null)",5.82500000e+04,1.45931462e-04
1,"(null)",5.82510000e+04,1.45202316e-04
1,"(null)",5.82520000e+04,1.44476884e-04
1,"(null)",5.82530000e+04,1.43755226e-04
1,"(null)",5.82540000e+04,1.43037403e-04
1,"(null)",5.82550000e+04,1.42323469e-04
1,"(null)",5.82560000e+04,1.41613475e-04
1,"(null)",5.82570000e+04,1.40907461e-04
1,"(null)",5.82580000e+04,1.40205459e-04
1,"(null)",5.82590000e+04,1.39507488e-04
1,"(null)",5.82600000e+04,1.38813552e-04
1,"(null)",5.82610000e+04,1.38123639e-04
1,"(null)",5.82620000e+04,1.37437721e-04
1,"(null)",5.82630000e+04,1.36755750e-04
1,"(null)",5.82640000e+04,1.36077658e-04
1,"(null)",5.82650000e+04,1.35403355e-04
1,"(null)",5.82660000e+04,1.34732731e-04
1,"(null)",5.82670000e+04,1.34065657e-04
1,"(null)",5.82680000e+04,1.33401983e-04
1,"(null)",5.82690000e+04,1.32741549e-04
1,"(null)",5.82700000e+04,1.32084191e-04
1,"(null)",5.82710000e+04,1.31430140e-04
1,"(null)",5.82720000e+04,1.30803359e-04
1,"(null)",5.82730000e+04,1.30193842e-04
1,"(null)",5.82740000e+04,1.29585246e-04
1,"(null)",5.82750000e+04,1.28972894e-04
1,"(null)",5.82760000e+04,1.28356669e-04
1,"(null)",5.82770000e+04,1.27737950e-04
1,"(null)",5.82780000e+04,1.27118383e-04
1,"(null)",5.82790000e+04,1.26499447e-04
1,"(null)",5.82800000e+04,1.25882357e-04
1,"(null)",5.82810000e+04,1.25268067e-04
1,"(null)",5.82820000e+04,1.24657317e-04
1,"(null)",5.82830000e+04,1.24050674e-04
1,"(null)",5.82840000e+04,1.23448573e-04
1,"(null)",5.82850000e+04,1.22851346e-04
1,"(null)",5.82860000e+04,1.22259246e-04
1,"(null)",5.82870000e+04,1.21672469e-04
1,"(null)",5.82880000e+04,1.21091162e-04
1,"(null)",5.82890000e+04,1.20515436e-04
1,"(null)",5.82900000e+04,1.19945371e-04
1,"(null)",5.82910000e+04,1.19381025e-04
1,"(null)",5.82920000e+04,1.18822429e-04
1,"(null)",5.82930000e+04,1.18269598e-04
1,"(null)",5.82940000e+04,1.17722530e-04
1,"(null)",5.82950000e+04,1.17181209e-04
1,"(null)",5.82960000e+04,1.16645607e-04
1,"(null)",5.82970000e+04,1.16115685e-04
1,"(null)",5.82980000e+04,1.15591399e-04
1,"(null)",5.82990000e+04,1.15072697e-04
1,"(null)",5.83000000e+04,1.14559521e-04
1,"(null)",5.83010000e+04,1.14051814e-04
1,"(null)",5.83020000e+04,1.13549512e-04
1,"(null)",5.83030000e+04,1.13052553e-04
1,"(null)",5.83040000e+04,1.12560870e-04
1,"(null)",5.83050000e+04,1.12074400e-04
1,"(null)",5.83060000e+04,1.11593075e-04
1,"(null)",5.83070000e+04,1.11116832e-04
1,"(null)",5.83080000e+04,1.10645605e-04
1,"(null)",5.83090000e+04,1.10179329e-04
1,"(null)",5.83100000e+04,1.09717941e-04
1,"(null)",5.83110000e+04,1.09261376e-04
1,"(null)",5.83120000e+04,1.08809573e-04
1,"(null)",5.83130000e+04,1.08362470e-04
1,"(null)",5.83140000e+04,1.07920006e-04
1,"(null)",5.83150000e+04,1.07482121e-04
1,"(null)",5.83160000e+04,1.07048755e-04
1,"(null)",5.83170000e+04,1.06619851e-04
1,"(null)",5.83180000e+04,1.06195350e-04
1,"(null)",5.83190000e+04,1.05775196e-04
1,"(null)",5.83200000e+04,1.05359334e-04
1,"(null)",5.83210000e+04,1.04947708e-04
1,"(null)",5.83220000e+04,1.04540264e-04
1,"(null)",5.83230000e+04,1.04136949e-04
1,"(null)",5.83240000e+04,1.03737710e-04
1,"(null)",5.83250000e+04,1.03342496e-04
1,"(null)",5.83260000e+04,1.02951256e-04
1,"(null)",5.83270000e+04,1.02563940e-04
1,"(null)",5.83280000e+04,1.02180498e-04
1,"(null)",5.83290000e+04,1.01800882e-04
1,"(null)",5.83300000e+04,1.01425044e-04
1,"(null)",5.83310000e+04,1.01052937e-04
1,"(null)",5.83320000e+04,1.00684514e-04
1,"(null)",5.83330000e+04,1.00319730e-04
1,"(null)",5.83340000e+04,9.99585387e-05
1,"(null)",5.83350000e+04,9.96008971e-05
1,"(null)",5.83360000e+04,9.92467610e-05
1,"(null)",5.83370000e+04,9.88960874e-05
1,"(null)",5.83380000e+04,9.85488339e-05
1,"(null)",5.83390000e+04,9.82049587e-05
1,"(null)",5.83400000e+04,9.78644207e-05
1,"(null)",5.83410000e+04,9.75271794e-05
1,"(null)",5.83420000e+04,9.71931948e-05
1,"(null)",5.83430000e+04,9.68624276e-05
1,"(null)",5.83440000e+04,9.65348391e-05
1,"(null)",5.83450000e+04,9.62103911e-05
1,"(null)",5.83460000e+04,9.58890459e-05
1,"(null)",5.83470000e+04,9.55707665e-05
1,"(null)",5.83480000e+04,9.52555163e-05
1,"(null)",5.83490000e+04,9.49432594e-05
1,"(null)",5.83500000e+04,9.46339603e-05
1,"(null)",5.83510000e+04,9.43275840e-05
1,"(null)",5.83520000e+04,9.40240960e-05
1,"(null)",5.83530000e+04,9.37234625e-05
1,"(null)",5.83540000e+04,9.34256500e-05
1,"(null)",5.83550000e+04,9.31306255e-05
1,"(null)",5.83560000e+04,9.28383564e-05
1,"(null)",5.83570000e+04,9.25488107e-05
1,"(null)",5.83580000e+04,9.22619570e-05
1,"(null)",5.83590000e+04,9.19777639e-05
1,"(null)",5.83600000e+04,9.16962009e-05
1,"(null)",5.83610000e+04,9.14172376e-05
1,"(null)",5.83620000e+04,9.11408443e-05
1,"(null)",5.83630000e+04,9.08669915e-05
1,"(null)",5.83640000e+04,9.05956503e-05
1,"(null)",5.83650000e+04,9.03267920e-05
1,"(null)",5.83660000e+04,9.00603885e-05
1,"(null)",5.83670000e+04,8.97964120e-05
1,"(null)",5.83680000e+04,8.95348351e-05
1,"(null)",5.83690000e+04,8.92756307e-05
1,"(null)",5.83700000e+04,8.90187722e-05
1,"(null)",5.83710000e+04,8.87642334e-05
1,"(null)",5.83720000e+04,8.85119883e-05
1,"(null)",5.83730000e+04,8.82620113e-05
1,"(null)",5.83740000e+04,8.80142773e-05
1,"(null)",5.83750000e+04,8.77687613e-05
1,"(null)",5.83760000e+04,8.75254389e-05
1,"(null)",5.83770000e+04,8.72842859e-05
1,"(null)",5.83780000e+04,8.70452784e-05
1,"(null)",5.83790000e+04,8.68084034e-05
1,"(null)",5.83800000e+04,8.65736164e-05
1,"(null)",5.83810000e+04,8.63409054e-05
1,"(null)",5.83820000e+04,8.61102476e-05
1,"(null)",5.83830000e+04,8.58816207e-05
1,"(null)",5.83840000e+04,8.56550028e-05
1,"(null)",5.83850000e+04,8.54303721e-05
1,"(null)",5.83860000e+04,8.52077073e-05
1,"(null)",5.83870000e+04,8.49869872e-05
1,"(null)",5.83880000e+04,8.47681909e-05
1,"(null)",5.83890000e+04,8.45512979e-05
1,"(null)",5.83900000e+04,8.43362880e-05
1,"(null)",5.83910000e+04,8.41231410e-05
1,"(null)",5.83920000e+04,8.39118371e-05
1,"(null)",5.83930000e+04,8.37023570e-05
1,"(null)",5.83940000e+04,8.34946812e-05
1,"(null)",5.83950000e+04,8.32887909e-05
1,"(null)",5.83960000e+04,8.30846672e-05
1,"(null)",5.83970000e+04,8.28822916e-05
1,"(null)",5.83980000e+04,8.26816459e-05
1,"(null)",5.83990000e+04,8.24827120e-05
1,"(null)",5.84000000e+04,8.22854721e-05
1,"(null)",5.84010000e+04,8.20899087e-05
1,"(null)",5.84020000e+04,8.18960043e-05
1,"(null)",5.84030000e+04,8.17037418e-05
1,"(null)",5.84040000e+04,8.15131043e-05
1,"(null)",5.84050000e+04,8.13240751e-05
1,"(null)",5.84060000e+04,8.11366378e-05
1,"(null)",5.84070000e+04,8.09507760e-05
1,"(null)",5.84080000e+04,8.07664736e-05
