position,label,x,y
1,"alpha_n",-1.20000000e+02,1.10001837e+00
1,"alpha_n",-1.19900000e+02,1.09901854e+00
1,"alpha_n",-1.19800000e+02,1.09801871e+00
1,"alpha_n",-1.19700000e+02,1.09701888e+00
1,"alpha_n",-1.19600000e+02,1.09601905e+00
1,"alpha_n",-1.19500000e+02,1.09501923e+00
1,"alpha_n",-1.19400000e+02,1.09401940e+00
1,"alpha_n",-1.19300000e+02,1.09301958e+00
1,"alpha_n",-1.19200000e+02,1.09201976e+00
1,"alpha_n",-1.19100000e+02,1.09101994e+00
1,"alpha_n",-1.19000000e+02,1.09002012e+00
1,"alpha_n",-1.18900000e+02,1.08902030e+00
1,"alpha_n",-1.18800000e+02,1.08802049e+00
1,"alpha_n",-1.18700000e+02,1.08702068e+00
1,"alpha_n",-1.18600000e+02,1.08602086e+00
1,"alpha_n",-1.18500000e+02,1.08502105e+00
1,"alpha_n",-1.18400000e+02,1.08402125e+00
1,"alpha_n",-1.18300000e+02,1.08302144e+00
1,"alpha_n",-1.18200000e+02,1.08202164e+00
1,"alpha_n",-1.18100000e+02,1.08102183e+00
1,"alpha_n",-1.18000000e+02,1.08002203e+00
1,"alpha_n",-1.17900000e+02,1.07902223e+00
1,"alpha_n",-1.17800000e+02,1.07802244e+00
1,"alpha_n",-1.17700000e+02,1.07702264e+00
1,"alpha_n",-1.17600000e+02,1.07602285e+00
1,"alpha_n",-1.17500000e+02,1.07502305e+00
1,"alpha_n",-1.17400000e+02,1.07402326e+00
1,"alpha_n",-1.17300000e+02,1.07302348e+00
1,"alpha_n",-1.17200000e+02,1.07202369e+00
1,"alpha_n",-1.17100000e+02,1.07102391e+00
1,"alpha_n",-1.17000000e+02,1.07002412e+00
1,"alpha_n",-1.16900000e+02,1.06902434e+00
1,"alpha_n",-1.16800000e+02,1.06802456e+00
1,"alpha_n",-1.16700000e+02,1.06702479e+00
1,"alpha_n",-1.16600000e+02,1.06602501e+00
1,"alpha_n",-1.16500000e+02,1.06502524e+00
1,"alpha_n",-1.16400000e+02,1.06402547e+00
1,"alpha_n",-1.16300000e+02,1.06302570e+00
1,"alpha_n",-1.16200000e+02,1.06202594e+00
1,"alpha_n",-1.16100000e+02,1.06102617e+00
1,"alpha_n",-1.16000000e+02,1.06002641e+00
1,"alpha_n",-1.15900000e+02,1.05902665e+00
1,"alpha_n",-1.15800000e+02,1.05802689e+00
1,"alpha_n",-1.15700000e+02,1.05702714e+00
1,"alpha_n",-1.15600000e+02,1.05602739e+00
1,"alpha_n",-1.15500000e+02,1.05502763e+00
1,"alpha_n",-1.15400000e+02,1.05402789e+00
1,"alpha_n",-1.15300000e+02,1.05302814e+00
1,"alpha_n",-1.15200000e+02,1.05202840e+00
1,"alpha_n",-1.15100000e+02,1.05102865e+00
1,"alpha_n",-1.15000000e+02,1.05002891e+00
1,"alpha_n",-1.14900000e+02,1.04902918e+00
1,"alpha_n",-1.14800000e+02,1.04802944e+00
1,"alpha_n",-1.14700000e+02,1.04702971e+00
1,"alpha_n",-1.14600000e+02,1.04602998e+00
1,"alpha_n",-1.14500000e+02,1.04503025e+00
1,"alpha_n",-1.14400000e+02,1.04403053e+00
1,"alpha_n",-1.14300000e+02,1.04303080e+00
1,"alpha_n",-1.14200000e+02,1.04203108e+00
1,"alpha_n",-1.14100000e+02,1.04103137e+00
1,"alpha_n",-1.14000000e+02,1.04003165e+00
1,"alpha_n",-1.13900000e+02,1.03903194e+00
1,"alpha_n",-1.13800000e+02,1.03803223e+00
1,"alpha_n",-1.13700000e+02,1.03703252e+00
1,"alpha_n",-1.13600000e+02,1.03603282e+00
1,"alpha_n",-1.13500000e+02,1.03503311e+00
1,"alpha_n",-1.13400000e+02,1.03403341e+00
1,"alpha_n",-1.13300000e+02,1.03303372e+00
1,"alpha_n",-1.13200000e+02,1.03203402e+00
1,"alpha_n",-1.13100000e+02,1.03103433e+00
1,"alpha_n",-1.13000000e+02,1.03003464e+00
1,"alpha_n",-1.12900000e+02,1.02903496e+00
1,"alpha_n",-1.12800000e+02,1.02803527e+00
1,"alpha_n",-1.12700000e+02,1.02703559e+00
1,"alpha_n",-1.12600000e+02,1.02603592e+00
1,"alpha_n",-1.12500000e+02,1.02503624e+00
1,"alpha_n",-1.12400000e+02,1.02403657e+00
1,"alpha_n",-1.12300000e+02,1.02303690e+00
1,"alpha_n",-1.12200000e+02,1.02203724e+00
1,"alpha_n",-1.12100000e+02,1.02103757e+00
1,"alpha_n",-1.12000000e+02,1.02003792e+00
1,"alpha_n",-1.11900000e+02,1.01903826e+00
1,"alpha_n",-1.11800000e+02,1.01803861e+00
1,"alpha_n",-1.11700000e+02,1.01703895e+00
1,"alpha_n",-1.11600000e+02,1.01603931e+00
1,"alpha_n",-1.11500000e+02,1.01503966e+00
1,"alpha_n",-1.11400000e+02,1.01404002e+00
1,"alpha_n",-1.11300000e+02,1.01304039e+00
1,"alpha_n",-1.11200000e+02,1.01204075e+00
1,"alpha_n",-1.11100000e+02,1.01104112e+00
1,"alpha_n",-1.11000000e+02,1.01004149e+00
1,"alpha_n",-1.10900000e+02,1.00904187e+00
1,"alpha_n",-1.10800000e+02,1.00804225e+00
1,"alpha_n",-1.10700000e+02,1.00704263e+00
1,"alpha_n",-1.10600000e+02,1.00604301e+00
1,"alpha_n",-1.10500000e+02,1.00504340e+00
