position,label,x,y
1,"IKr",5.79900000e+04,2.50831947e-08
1,"IKr",5.79910000e+04,2.50814683e-08
1,"IKr",5.79920000e+04,2.50797554e-08
1,"IKr",5.79930000e+04,2.50780557e-08
1,"IKr",5.79940000e+04,2.50763692e-08
1,"IKr",5.79950000e+04,2.50746956e-08
1,"IKr",5.79960000e+04,2.50730348e-08
1,"IKr",5.79970000e+04,2.50713867e-08
1,"IKr",5.79980000e+04,2.50697511e-08
1,"IKr",5.79990000e+04,2.50681279e-08
1,"IKr",5.80000000e+04,2.50665169e-08
1,"IKr",5.80010000e+04,2.61470242e-05
1,"IKr",5.80020000e+04,2.64371031e-03
1,"IKr",5.80030000e+04,2.71801584e-03
1,"IKr",5.80040000e+04,2.27951764e-03
1,"IKr",5.80050000e+04,1.84267000e-03
1,"IKr",5.80060000e+04,1.48541064e-03
1,"IKr",5.80070000e+04,1.21037356e-03
1,"IKr",5.80080000e+04,1.00446974e-03
1,"IKr",5.80090000e+04,8.52882959e-04
1,"IKr",5.80100000e+04,7.42696473e-04
1,"IKr",5.80110000e+04,6.63590041e-04
1,"IKr",5.80120000e+04,6.07640510e-04
1,"IKr",5.80130000e+04,5.68888416e-04
1,"IKr",5.80140000e+04,5.42898473e-04
1,"IKr",5.80150000e+04,5.26385445e-04
1,"IKr",5.80160000e+04,5.16918532e-04
1,"IKr",5.80170000e+04,5.12696715e-04
1,"IKr",5.80180000e+04,5.12379775e-04
1,"IKr",5.80190000e+04,5.14968103e-04
1,"IKr",5.80200000e+04,5.19720015e-04
1,"IKr",5.80210000e+04,5.26082476e-04
1,"IKr",5.80220000e+04,5.33640916e-04
1,"IKr",5.80230000e+04,5.42083476e-04
1,"IKr",5.80240000e+04,5.51175232e-04
1,"IKr",5.80250000e+04,5.60739313e-04
1,"IKr",5.80260000e+04,5.70642861e-04
1,"IKr",5.80270000e+04,5.80786406e-04
1,"IKr",5.80280000e+04,5.91095747e-04
1,"IKr",5.80290000e+04,6.01515667e-04
1,"IKr",5.80300000e+04,6.12005058e-04
1,"IKr",5.80310000e+04,6.22533135e-04
1,"IKr",5.80320000e+04,6.33076524e-04
1,"IKr",5.80330000e+04,6.43617030e-04
1,"IKr",5.80340000e+04,6.54139977e-04
1,"IKr",5.80350000e+04,6.64632992e-04
1,"IKr",5.80360000e+04,6.75085156e-04
1,"IKr",5.80370000e+04,6.85486430e-04
1,"IKr",5.80380000e+04,6.95827308e-04
1,"IKr",5.80390000e+04,7.06098622e-04
1,"IKr",5.80400000e+04,7.16291480e-04
1,"IKr",5.80410000e+04,7.26397260e-04
1,"IKr",5.80420000e+04,7.36407675e-04
1,"IKr",5.80430000e+04,7.46314844e-04
1,"IKr",5.80440000e+04,7.56111389e-04
1,"IKr",5.80450000e+04,7.65790511e-04
1,"IKr",5.80460000e+04,7.75346069e-04
1,"IKr",5.80470000e+04,7.84772633e-04
1,"IKr",5.80480000e+04,7.94065525e-04
1,"IKr",5.80490000e+04,8.03220840e-04
1,"IKr",5.80500000e+04,8.12235445e-04
1,"IKr",5.80510000e+04,8.21106977e-04
1,"IKr",5.80520000e+04,8.29833810e-04
1,"IKr",5.80530000e+04,8.38415025e-04
1,"IKr",5.80540000e+04,8.46850364e-04
1,"IKr",5.80550000e+04,8.55140189e-04
1,"IKr",5.80560000e+04,8.63285421e-04
1,"IKr",5.80570000e+04,8.71287495e-04
1,"IKr",5.80580000e+04,8.79148300e-04
1,"IKr",5.80590000e+04,8.86870128e-04
1,"IKr",5.80600000e+04,8.94455626e-04
1,"IKr",5.80610000e+04,9.01907739e-04
1,"IKr",5.80620000e+04,9.09229674e-04
1,"IKr",5.80630000e+04,9.16424848e-04
1,"IKr",5.80640000e+04,9.23496855e-04
1,"IKr",5.80650000e+04,9.30449427e-04
1,"IKr",5.80660000e+04,9.37286402e-04
1,"IKr",5.80670000e+04,9.44011698e-04
1,"IKr",5.80680000e+04,9.50629283e-04
1,"IKr",5.80690000e+04,9.57143153e-04
1,"IKr",5.80700000e+04,9.63557315e-04
1,"IKr",5.80710000e+04,9.69875767e-04
1,"IKr",5.80720000e+04,9.76102487e-04
1,"IKr",5.80730000e+04,9.82241414e-04
1,"IKr",5.80740000e+04,9.88296443e-04
1,"IKr",5.80750000e+04,9.94271415e-04
1,"IKr",5.80760000e+04,1.00017011e-03
1,"IKr",5.80770000e+04,1.00599623e-03
1,"IKr",5.80780000e+04,1.01175343e-03
1,"IKr",5.80790000e+04,1.01744527e-03
1,"IKr",5.80800000e+04,1.02307523e-03
1,"IKr",5.80810000e+04,1.02864672e-03
1,"IKr",5.80820000e+04,1.03416307e-03
1,"IKr",5.80830000e+04,1.03962753e-03
1,"IKr",5.80840000e+04,1.04504326e-03
1,"IKr",5.80850000e+04,1.05041336e-03
1,"IKr",5.80860000e+04,1.05574083e-03
1,"IKr",5.80870000e+04,1.06102860e-03
1,"IKr",5.80880000e+04,1.06627955e-03
1,"IKr",5.80890000e+04,1.07149646e-03
1,"IKr",5.80900000e+04,1.07668203e-03
1,"IKr",5.80910000e+04,1.08183893e-03
1,"IKr",5.80920000e+04,1.08696973e-03
1,"IKr",5.80930000e+04,1.09207696e-03
1,"IKr",5.80940000e+04,1.09716307e-03
1,"IKr",5.80950000e+04,1.10222938e-03
1,"IKr",5.80960000e+04,1.10728067e-03
1,"IKr",5.80970000e+04,1.11231779e-03
1,"IKr",5.80980000e+04,1.11734303e-03
1,"IKr",5.80990000e+04,1.12235857e-03
1,"IKr",5.81000000e+04,1.12736659e-03
1,"IKr",5.81010000e+04,1.13236920e-03
1,"IKr",5.81020000e+04,1.13736847e-03
1,"IKr",5.81030000e+04,1.14236642e-03
1,"IKr",5.81040000e+04,1.14736506e-03
1,"IKr",5.81050000e+04,1.15236633e-03
1,"IKr",5.81060000e+04,1.15737218e-03
1,"IKr",5.81070000e+04,1.16238449e-03
1,"IKr",5.81080000e+04,1.16740515e-03
1,"IKr",5.81090000e+04,1.17243599e-03
1,"IKr",5.81100000e+04,1.17747885e-03
1,"IKr",5.81110000e+04,1.18253553e-03
1,"IKr",5.81120000e+04,1.18760782e-03
1,"IKr",5.81130000e+04,1.19269749e-03
1,"IKr",5.81140000e+04,1.19780629e-03
1,"IKr",5.81150000e+04,1.20293598e-03
1,"IKr",5.81160000e+04,1.20808828e-03
1,"IKr",5.81170000e+04,1.21326492e-03
1,"IKr",5.81180000e+04,1.21846762e-03
1,"IKr",5.81190000e+04,1.22369811e-03
1,"IKr",5.81200000e+04,1.22895808e-03
1,"IKr",5.81210000e+04,1.23424925e-03
1,"IKr",5.81220000e+04,1.23957333e-03
1,"IKr",5.81230000e+04,1.24493204e-03
1,"IKr",5.81240000e+04,1.25032708e-03
1,"IKr",5.81250000e+04,1.25576020e-03
1,"IKr",5.81260000e+04,1.26123310e-03
1,"IKr",5.81270000e+04,1.26674754e-03
1,"IKr",5.81280000e+04,1.27230525e-03
1,"IKr",5.81290000e+04,1.27790801e-03
1,"IKr",5.81300000e+04,1.28355758e-03
1,"IKr",5.81310000e+04,1.28925576e-03
1,"IKr",5.81320000e+04,1.29500435e-03
1,"IKr",5.81330000e+04,1.30080517e-03
1,"IKr",5.81340000e+04,1.30666008e-03
1,"IKr",5.81350000e+04,1.31257093e-03
1,"IKr",5.81360000e+04,1.31853961e-03
1,"IKr",5.81370000e+04,1.32456805e-03
1,"IKr",5.81380000e+04,1.33065818e-03
1,"IKr",5.81390000e+04,1.33681197e-03
1,"IKr",5.81400000e+04,1.34303141e-03
1,"IKr",5.81410000e+04,1.34931855e-03
1,"IKr",5.81420000e+04,1.35567544e-03
1,"IKr",5.81430000e+04,1.36210418e-03
1,"IKr",5.81440000e+04,1.36860691e-03
1,"IKr",5.81450000e+04,1.37518580e-03
1,"IKr",5.81460000e+04,1.38184307e-03
1,"IKr",5.81470000e+04,1.38858097e-03
1,"IKr",5.81480000e+04,1.39540180e-03
