position,label,x,y
1,"m_inf",-1.20000000e+02,9.99464481e-01
1,"m_inf",-1.19900000e+02,9.99460933e-01
1,"m_inf",-1.19800000e+02,9.99457360e-01
1,"m_inf",-1.19700000e+02,9.99453763e-01
1,"m_inf",-1.19600000e+02,9.99450142e-01
1,"m_inf",-1.19500000e+02,9.99446496e-01
1,"m_inf",-1.19400000e+02,9.99442825e-01
1,"m_inf",-1.19300000e+02,9.99439130e-01
1,"m_inf",-1.19200000e+02,9.99435409e-01
1,"m_inf",-1.19100000e+02,9.99431663e-01
1,"m_inf",-1.19000000e+02,9.99427891e-01
1,"m_inf",-1.18900000e+02,9.99424094e-01
1,"m_inf",-1.18800000e+02,9.99420271e-01
1,"m_inf",-1.18700000e+02,9.99416422e-01
1,"m_inf",-1.18600000e+02,9.99412547e-01
1,"m_inf",-1.18500000e+02,9.99408645e-01
1,"m_inf",-1.18400000e+02,9.99404717e-01
1,"m_inf",-1.18300000e+02,9.99400762e-01
1,"m_inf",-1.18200000e+02,9.99396780e-01
1,"m_inf",-1.18100000e+02,9.99392771e-01
1,"m_inf",-1.18000000e+02,9.99388734e-01
1,"m_inf",-1.17900000e+02,9.99384670e-01
1,"m_inf",-1.17800000e+02,9.99380578e-01
1,"m_inf",-1.17700000e+02,9.99376459e-01
1,"m_inf",-1.17600000e+02,9.99372311e-01
1,"m_inf",-1.17500000e+02,9.99368135e-01
1,"m_inf",-1.17400000e+02,9.99363931e-01
1,"m_inf",-1.17300000e+02,9.99359698e-01
1,"m_inf",-1.17200000e+02,9.99355435e-01
1,"m_inf",-1.17100000e+02,9.99351144e-01
1,"m_inf",-1.17000000e+02,9.99346824e-01
1,"m_inf",-1.16900000e+02,9.99342474e-01
1,"m_inf",-1.16800000e+02,9.99338094e-01
1,"m_inf",-1.16700000e+02,9.99333684e-01
1,"m_inf",-1.16600000e+02,9.99329244e-01
1,"m_inf",-1.16500000e+02,9.99324774e-01
1,"m_inf",-1.16400000e+02,9.99320273e-01
1,"m_inf",-1.16300000e+02,9.99315742e-01
1,"m_inf",-1.16200000e+02,9.99311179e-01
1,"m_inf",-1.16100000e+02,9.99306585e-01
1,"m_inf",-1.16000000e+02,9.99301960e-01
1,"m_inf",-1.15900000e+02,9.99297303e-01
1,"m_inf",-1.15800000e+02,9.99292614e-01
1,"m_inf",-1.15700000e+02,9.99287894e-01
1,"m_inf",-1.15600000e+02,9.99283140e-01
1,"m_inf",-1.15500000e+02,9.99278354e-01
1,"m_inf",-1.15400000e+02,9.99273536e-01
1,"m_inf",-1.15300000e+02,9.99268684e-01
1,"m_inf",-1.15200000e+02,9.99263799e-01
1,"m_inf",-1.15100000e+02,9.99258881e-01
1,"m_inf",-1.15000000e+02,9.99253928e-01
1,"m_inf",-1.14900000e+02,9.99248942e-01
1,"m_inf",-1.14800000e+02,9.99243922e-01
1,"m_inf",-1.14700000e+02,9.99238867e-01
1,"m_inf",-1.14600000e+02,9.99233777e-01
1,"m_inf",-1.14500000e+02,9.99228653e-01
1,"m_inf",-1.14400000e+02,9.99223493e-01
1,"m_inf",-1.14300000e+02,9.99218298e-01
1,"m_inf",-1.14200000e+02,9.99213067e-01
1,"m_inf",-1.14100000e+02,9.99207800e-01
1,"m_inf",-1.14000000e+02,9.99202497e-01
1,"m_inf",-1.13900000e+02,9.99197157e-01
1,"m_inf",-1.13800000e+02,9.99191781e-01
1,"m_inf",-1.13700000e+02,9.99186367e-01
1,"m_inf",-1.13600000e+02,9.99180917e-01
1,"m_inf",-1.13500000e+02,9.99175429e-01
1,"m_inf",-1.13400000e+02,9.99169903e-01
1,"m_inf",-1.13300000e+02,9.99164339e-01
1,"m_inf",-1.13200000e+02,9.99158737e-01
1,"m_inf",-1.13100000e+02,9.99153096e-01
1,"m_inf",-1.13000000e+02,9.99147416e-01
1,"m_inf",-1.12900000e+02,9.99141697e-01
1,"m_inf",-1.12800000e+02,9.99135939e-01
1,"m_inf",-1.12700000e+02,9.99130141e-01
1,"m_inf",-1.12600000e+02,9.99124303e-01
1,"m_inf",-1.12500000e+02,9.99118424e-01
1,"m_inf",-1.12400000e+02,9.99112505e-01
1,"m_inf",-1.12300000e+02,9.99106546e-01
1,"m_inf",-1.12200000e+02,9.99100545e-01
1,"m_inf",-1.12100000e+02,9.99094503e-01
1,"m_inf",-1.12000000e+02,9.99088418e-01
1,"m_inf",-1.11900000e+02,9.99082292e-01
1,"m_inf",-1.11800000e+02,9.99076124e-01
1,"m_inf",-1.11700000e+02,9.99069913e-01
1,"m_inf",-1.11600000e+02,9.99063659e-01
1,"m_inf",-1.11500000e+02,9.99057361e-01
1,"m_inf",-1.11400000e+02,9.99051021e-01
1,"m_inf",-1.11300000e+02,9.99044636e-01
1,"m_inf",-1.11200000e+02,9.99038207e-01
1,"m_inf",-1.11100000e+02,9.99031734e-01
1,"m_inf",-1.11000000e+02,9.99025215e-01
1,"m_inf",-1.10900000e+02,9.99018652e-01
1,"m_inf",-1.10800000e+02,9.99012043e-01
1,"m_inf",-1.10700000e+02,9.99005388e-01
1,"m_inf",-1.10600000e+02,9.98998688e-01
1,"m_inf",-1.10500000e+02,9.98991940e-01
1,"m_inf",-1.10400000e+02,9.98985146e-01
1,"m_inf",-1.10300000e+02,9.98978305e-01
1,"m_inf",-1.10200000e+02,9.98971417e-01
1,"m_inf",-1.10100000e+02,9.98964480e-01
1,"m_inf",-1.10000000e+02,9.98957496e-01
1,"m_inf",-1.09900000e+02,9.98950463e-01
1,"m_inf",-1.09800000e+02,9.98943381e-01
1,"m_inf",-1.09700000e+02,9.98936250e-01
1,"m_inf",-1.09600000e+02,9.98929069e-01
1,"m_inf",-1.09500000e+02,9.98921839e-01
1,"m_inf",-1.09400000e+02,9.98914558e-01
1,"m_inf",-1.09300000e+02,9.98907226e-01
1,"m_inf",-1.09200000e+02,9.98899844e-01
1,"m_inf",-1.09100000e+02,9.98892410e-01
1,"m_inf",-1.09000000e+02,9.98884925e-01
1,"m_inf",-1.08900000e+02,9.98877387e-01
1,"m_inf",-1.08800000e+02,9.98869797e-01
1,"m_inf",-1.08700000e+02,9.98862154e-01
1,"m_inf",-1.08600000e+02,9.98854458e-01
1,"m_inf",-1.08500000e+02,9.98846709e-01
1,"m_inf",-1.08400000e+02,9.98838905e-01
1,"m_inf",-1.08300000e+02,9.98831047e-01
1,"m_inf",-1.08200000e+02,9.98823134e-01
1,"m_inf",-1.08100000e+02,9.98815166e-01
1,"m_inf",-1.08000000e+02,9.98807142e-01
1,"m_inf",-1.07900000e+02,9.98799062e-01
1,"m_inf",-1.07800000e+02,9.98790926e-01
1,"m_inf",-1.07700000e+02,9.98782734e-01
1,"m_inf",-1.07600000e+02,9.98774484e-01
1,"m_inf",-1.07500000e+02,9.98766176e-01
1,"m_inf",-1.07400000e+02,9.98757810e-01
1,"m_inf",-1.07300000e+02,9.98749386e-01
1,"m_inf",-1.07200000e+02,9.98740903e-01
1,"m_inf",-1.07100000e+02,9.98732361e-01
1,"m_inf",-1.07000000e+02,9.98723759e-01
1,"m_inf",-1.06900000e+02,9.98715096e-01
1,"m_inf",-1.06800000e+02,9.98706374e-01
1,"m_inf",-1.06700000e+02,9.98697590e-01
1,"m_inf",-1.06600000e+02,9.98688744e-01
1,"m_inf",-1.06500000e+02,9.98679837e-01
1,"m_inf",-1.06400000e+02,9.98670867e-01
1,"m_inf",-1.06300000e+02,9.98661835e-01
1,"m_inf",-1.06200000e+02,9.98652739e-01
1,"m_inf",-1.06100000e+02,9.98643579e-01
1,"m_inf",-1.06000000e+02,9.98634355e-01
1,"m_inf",-1.05900000e+02,9.98625067e-01
1,"m_inf",-1.05800000e+02,9.98615713e-01
1,"m_inf",-1.05700000e+02,9.98606294e-01
1,"m_inf",-1.05600000e+02,9.98596809e-01
1,"m_inf",-1.05500000e+02,9.98587257e-01
1,"m_inf",-1.05400000e+02,9.98577637e-01
1,"m_inf",-1.05300000e+02,9.98567951e-01
1,"m_inf",-1.05200000e+02,9.98558196e-01
1,"m_inf",-1.05100000e+02,9.98548373e-01
1,"m_inf",-1.05000000e+02,9.98538480e-01
1,"m_inf",-1.04900000e+02,9.98528519e-01
1,"m_inf",-1.04800000e+02,9.98518487e-01
1,"m_inf",-1.04700000e+02,9.98508384e-01
1,"m_inf",-1.04600000e+02,9.98498211e-01
1,"m_inf",-1.04500000e+02,9.98487965e-01
1,"m_inf",-1.04400000e+02,9.98477648e-01
1,"m_inf",-1.04300000e+02,9.98467258e-01
1,"m_inf",-1.04200000e+02,9.98456795e-01
1,"m_inf",-1.04100000e+02,9.98446258e-01
1,"m_inf",-1.04000000e+02,9.98435646e-01
1,"m_inf",-1.03900000e+02,9.98424960e-01
1,"m_inf",-1.03800000e+02,9.98414199e-01
1,"m_inf",-1.03700000e+02,9.98403362e-01
1,"m_inf",-1.03600000e+02,9.98392448e-01
1,"m_inf",-1.03500000e+02,9.98381457e-01
1,"m_inf",-1.03400000e+02,9.98370388e-01
1,"m_inf",-1.03300000e+02,9.98359242e-01
1,"m_inf",-1.03200000e+02,9.98348016e-01
1,"m_inf",-1.03100000e+02,9.98336712e-01
1,"m_inf",-1.03000000e+02,9.98325327e-01
1,"m_inf",-1.02900000e+02,9.98313862e-01
1,"m_inf",-1.02800000e+02,9.98302316e-01
1,"m_inf",-1.02700000e+02,9.98290688e-01
1,"m_inf",-1.02600000e+02,9.98278978e-01
1,"m_inf",-1.02500000e+02,9.98267185e-01
1,"m_inf",-1.02400000e+02,9.98255309e-01
1,"m_inf",-1.02300000e+02,9.98243348e-01
1,"m_inf",-1.02200000e+02,9.98231303e-01
1,"m_inf",-1.02100000e+02,9.98219172e-01
1,"m_inf",-1.02000000e+02,9.98206955e-01
1,"m_inf",-1.01900000e+02,9.98194652e-01
1,"m_inf",-1.01800000e+02,9.98182262e-01
1,"m_inf",-1.01700000e+02,9.98169783e-01
1,"m_inf",-1.01600000e+02,9.98157216e-01
1,"m_inf",-1.01500000e+02,9.98144560e-01
1,"m_inf",-1.01400000e+02,9.98131814e-01
1,"m_inf",-1.01300000e+02,9.98118978e-01
1,"m_inf",-1.01200000e+02,9.98106050e-01
1,"m_inf",-1.01100000e+02,9.98093030e-01
1,"m_inf",-1.01000000e+02,9.98079918e-01
1,"m_inf",-1.00900000e+02,9.98066713e-01
1,"m_inf",-1.00800000e+02,9.98053414e-01
1,"m_inf",-1.00700000e+02,9.98040020e-01
1,"m_inf",-1.00600000e+02,9.98026531e-01
1,"m_inf",-1.00500000e+02,9.98012945e-01
1,"m_inf",-1.00400000e+02,9.97999263e-01
1,"m_inf",-1.00300000e+02,9.97985484e-01
1,"m_inf",-1.00200000e+02,9.97971606e-01
1,"m_inf",-1.00100000e+02,9.97957630e-01
1,"m_inf",-1.00000000e+02,9.97943554e-01
1,"m_inf",-9.99000000e+01,9.97929378e-01
1,"m_inf",-9.98000000e+01,9.97915100e-01
1,"m_inf",-9.97000000e+01,9.97900721e-01
1,"m_inf",-9.96000000e+01,9.97886238e-01
1,"m_inf",-9.95000000e+01,9.97871653e-01
1,"m_inf",-9.94000000e+01,9.97856963e-01
1,"m_inf",-9.93000000e+01,9.97842169e-01
1,"m_inf",-9.92000000e+01,9.97827269e-01
1,"m_inf",-9.91000000e+01,9.97812262e-01
1,"m_inf",-9.90000000e+01,9.97797148e-01
1,"m_inf",-9.89000000e+01,9.97781926e-01
1,"m_inf",-9.88000000e+01,9.97766595e-01
1,"m_inf",-9.87000000e+01,9.97751154e-01
1,"m_inf",-9.86000000e+01,9.97735603e-01
1,"m_inf",-9.85000000e+01,9.97719940e-01
1,"m_inf",-9.84000000e+01,9.97704165e-01
1,"m_inf",-9.83000000e+01,9.97688278e-01
1,"m_inf",-9.82000000e+01,9.97672276e-01
1,"m_inf",-9.81000000e+01,9.97656160e-01
1,"m_inf",-9.80000000e+01,9.97639928e-01
1,"m_inf",-9.79000000e+01,9.97623579e-01
1,"m_inf",-9.78000000e+01,9.97607114e-01
