position,label,x,y
1,"500ms",8.90000000e+03,-8.63857317e+01
1,"500ms",8.90500000e+03,-8.63859123e+01
1,"500ms",8.91000000e+03,-8.63860880e+01
1,"500ms",8.91500000e+03,-8.63862590e+01
1,"500ms",8.92000000e+03,-8.63864253e+01
1,"500ms",8.92500000e+03,-8.63865872e+01
1,"500ms",8.93000000e+03,-8.63867448e+01
1,"500ms",8.93500000e+03,-8.63868981e+01
1,"500ms",8.94000000e+03,-8.63870474e+01
1,"500ms",8.94500000e+03,-8.63871926e+01
1,"500ms",8.95000000e+03,-8.63873340e+01
1,"500ms",8.95500000e+03,-8.63874717e+01
1,"500ms",8.96000000e+03,-8.63876057e+01
1,"500ms",8.96500000e+03,-8.63877362e+01
1,"500ms",8.97000000e+03,-8.63878632e+01
1,"500ms",8.97500000e+03,-8.63879869e+01
1,"500ms",8.98000000e+03,-8.63881074e+01
1,"500ms",8.98500000e+03,-8.63882247e+01
1,"500ms",8.99000000e+03,-8.63883390e+01
1,"500ms",8.99500000e+03,-8.63884503e+01
1,"500ms",9.00000000e+03,-8.63869776e+01
1,"500ms",9.00500000e+03,1.79836823e+01
1,"500ms",9.01000000e+03,1.48169113e+01
1,"500ms",9.01500000e+03,1.64773463e+01
1,"500ms",9.02000000e+03,1.87367993e+01
1,"500ms",9.02500000e+03,2.05611202e+01
1,"500ms",9.03000000e+03,2.17835865e+01
1,"500ms",9.03500000e+03,2.24421374e+01
1,"500ms",9.04000000e+03,2.26710359e+01
1,"500ms",9.04500000e+03,2.26197603e+01
1,"500ms",9.05000000e+03,2.24029968e+01
1,"500ms",9.05500000e+03,2.20931502e+01
1,"500ms",9.06000000e+03,2.17310568e+01
1,"500ms",9.06500000e+03,2.13381397e+01
1,"500ms",9.07000000e+03,2.09249881e+01
1,"500ms",9.07500000e+03,2.04964418e+01
1,"500ms",9.08000000e+03,2.00543594e+01
1,"500ms",9.08500000e+03,1.95990577e+01
1,"500ms",9.09000000e+03,1.91300385e+01
1,"500ms",9.09500000e+03,1.86463487e+01
1,"500ms",9.10000000e+03,1.81467525e+01
1,"500ms",9.10500000e+03,1.76298094e+01
1,"500ms",9.11000000e+03,1.70939045e+01
1,"500ms",9.11500000e+03,1.65372538e+01
1,"500ms",9.12000000e+03,1.59578964e+01
1,"500ms",9.12500000e+03,1.53536796e+01
1,"500ms",9.13000000e+03,1.47222386e+01
1,"500ms",9.13500000e+03,1.40609735e+01
1,"500ms",9.14000000e+03,1.33670226e+01
1,"500ms",9.14500000e+03,1.26372340e+01
1,"500ms",9.15000000e+03,1.18681335e+01
1,"500ms",9.15500000e+03,1.10558909e+01
1,"500ms",9.16000000e+03,1.01962827e+01
1,"500ms",9.16500000e+03,9.28465260e+00
1,"500ms",9.17000000e+03,8.31586872e+00
1,"500ms",9.17500000e+03,7.28427409e+00
1,"500ms",9.18000000e+03,6.18362315e+00
1,"500ms",9.18500000e+03,5.00698300e+00
1,"500ms",9.19000000e+03,3.74655236e+00
1,"500ms",9.19500000e+03,2.39330581e+00
1,"500ms",9.20000000e+03,9.36306667e-01
1,"500ms",9.20500000e+03,-6.38525640e-01
1,"500ms",9.21000000e+03,-2.35040058e+00
1,"500ms",9.21500000e+03,-4.22645351e+00
1,"500ms",9.22000000e+03,-6.30508853e+00
1,"500ms",9.22500000e+03,-8.63910060e+00
1,"500ms",9.23000000e+03,-1.12970661e+01
1,"500ms",9.23500000e+03,-1.43604788e+01
1,"500ms",9.24000000e+03,-1.79139976e+01
1,"500ms",9.24500000e+03,-2.20309938e+01
1,"500ms",9.25000000e+03,-2.67690981e+01
1,"500ms",9.25500000e+03,-3.21995700e+01
1,"500ms",9.26000000e+03,-3.84867905e+01
1,"500ms",9.26500000e+03,-4.60240062e+01
1,"500ms",9.27000000e+03,-5.55344951e+01
1,"500ms",9.27500000e+03,-6.70205209e+01
1,"500ms",9.28000000e+03,-7.68350582e+01
1,"500ms",9.28500000e+03,-8.22789854e+01
1,"500ms",9.29000000e+03,-8.47692994e+01
1,"500ms",9.29500000e+03,-8.57329294e+01
1,"500ms",9.30000000e+03,-8.60333774e+01
1,"500ms",9.30500000e+03,-8.61194075e+01
1,"500ms",9.31000000e+03,-8.61468316e+01
1,"500ms",9.31500000e+03,-8.61589597e+01
1,"500ms",9.32000000e+03,-8.61671121e+01
1,"500ms",9.32500000e+03,-8.61741940e+01
1,"500ms",9.33000000e+03,-8.61809414e+01
1,"500ms",9.33500000e+03,-8.61875308e+01
1,"500ms",9.34000000e+03,-8.61939950e+01
1,"500ms",9.34500000e+03,-8.62003313e+01
1,"500ms",9.35000000e+03,-8.62065302e+01
1,"500ms",9.35500000e+03,-8.62125819e+01
1,"500ms",9.36000000e+03,-8.62184786e+01
1,"500ms",9.36500000e+03,-8.62242145e+01
1,"500ms",9.37000000e+03,-8.62297858e+01
1,"500ms",9.37500000e+03,-8.62351901e+01
1,"500ms",9.38000000e+03,-8.62404265e+01
1,"500ms",9.38500000e+03,-8.62454953e+01
1,"500ms",9.39000000e+03,-8.62503978e+01
1,"500ms",9.39500000e+03,-8.62551360e+01
1,"500ms",9.40000000e+03,-8.62597126e+01
1,"500ms",9.40500000e+03,-8.62641309e+01
1,"500ms",9.41000000e+03,-8.62683946e+01
1,"500ms",9.41500000e+03,-8.62725075e+01
1,"500ms",9.42000000e+03,-8.62764739e+01
1,"500ms",9.42500000e+03,-8.62802981e+01
1,"500ms",9.43000000e+03,-8.62839847e+01
1,"500ms",9.43500000e+03,-8.62875379e+01
1,"500ms",9.44000000e+03,-8.62909625e+01
1,"500ms",9.44500000e+03,-8.62942629e+01
1,"500ms",9.45000000e+03,-8.62974434e+01
1,"500ms",9.45500000e+03,-8.63005085e+01
1,"500ms",9.46000000e+03,-8.63034625e+01
1,"500ms",9.46500000e+03,-8.63063095e+01
1,"500ms",9.47000000e+03,-8.63090537e+01
1,"500ms",9.47500000e+03,-8.63116988e+01
1,"500ms",9.48000000e+03,-8.63142489e+01
1,"500ms",9.48500000e+03,-8.63167075e+01
1,"500ms",9.49000000e+03,-8.63190783e+01
1,"500ms",9.49500000e+03,-8.63213647e+01
1,"500ms",9.50000000e+03,-8.63235699e+01
1,"500ms",9.50500000e+03,-8.63256973e+01
1,"500ms",9.51000000e+03,-8.63277498e+01
1,"500ms",9.51500000e+03,-8.63297304e+01
