position,label,x,y
1,"INa",0.00000000e+00,6.21627955e-01
1,"INa",1.00000000e-01,8.51941527e-01
1,"INa",2.00000000e-01,1.15259322e+00
1,"INa",3.00000000e-01,1.53945358e+00
1,"INa",4.00000000e-01,2.03207373e+00
1,"INa",5.00000000e-01,2.65521986e+00
1,"INa",6.00000000e-01,3.44134378e+00
1,"INa",7.00000000e-01,4.43456080e+00
1,"INa",8.00000000e-01,5.69715060e+00
1,"INa",9.00000000e-01,7.32047417e+00
1,"INa",1.00000000e+00,9.44400184e+00
1,"INa",1.10000000e+00,1.18843519e+01
1,"INa",1.20000000e+00,1.42636977e+01
1,"INa",1.30000000e+00,1.68021024e+01
1,"INa",1.40000000e+00,1.97760194e+01
1,"INa",1.50000000e+00,2.35559456e+01
1,"INa",1.60000000e+00,2.87083672e+01
1,"INa",1.70000000e+00,3.62123679e+01
1,"INa",1.80000000e+00,4.79452553e+01
1,"INa",1.90000000e+00,6.78669483e+01
1,"INa",2.00000000e+00,1.05071382e+02
1,"INa",2.10000000e+00,1.80789616e+02
1,"INa",2.20000000e+00,3.25682704e+02
1,"INa",2.30000000e+00,4.25103868e+02
1,"INa",2.40000000e+00,3.19400510e+02
1,"INa",2.50000000e+00,3.32746276e+02
1,"INa",2.60000000e+00,4.15179719e+02
1,"INa",2.70000000e+00,5.04680657e+02
1,"INa",2.80000000e+00,5.88441646e+02
1,"INa",2.90000000e+00,6.60713950e+02
1,"INa",3.00000000e+00,7.18246426e+02
1,"INa",3.10000000e+00,7.59668795e+02
1,"INa",3.20000000e+00,7.85011555e+02
1,"INa",3.30000000e+00,7.95231641e+02
1,"INa",3.40000000e+00,7.91809530e+02
1,"INa",3.50000000e+00,7.76449032e+02
1,"INa",3.60000000e+00,7.50872562e+02
1,"INa",3.70000000e+00,7.16682686e+02
1,"INa",3.80000000e+00,6.75251488e+02
1,"INa",3.90000000e+00,6.27600799e+02
1,"INa",4.00000000e+00,5.74251322e+02
1,"INa",4.10000000e+00,5.15049729e+02
1,"INa",4.20000000e+00,4.49035299e+02
1,"INa",4.30000000e+00,3.74531860e+02
1,"INa",4.40000000e+00,2.90025767e+02
1,"INa",4.50000000e+00,1.97196479e+02
1,"INa",4.60000000e+00,1.07086585e+02
1,"INa",4.70000000e+00,4.12536698e+01
1,"INa",4.80000000e+00,1.07648164e+01
1,"INa",4.90000000e+00,2.15168540e+00
1,"INa",5.00000000e+00,4.12460934e-01
1,"INa",5.10000000e+00,9.40997558e-02
1,"INa",5.20000000e+00,2.99366352e-02
1,"INa",5.30000000e+00,1.40620916e-02
1,"INa",5.40000000e+00,9.23164375e-03
1,"INa",5.50000000e+00,7.59914455e-03
1,"INa",5.60000000e+00,7.11883474e-03
1,"INa",5.70000000e+00,7.12718303e-03
1,"INa",5.80000000e+00,7.36659304e-03
1,"INa",5.90000000e+00,7.72427160e-03
1,"INa",6.00000000e+00,8.14748720e-03
1,"INa",6.10000000e+00,8.61096686e-03
1,"INa",6.20000000e+00,9.10269638e-03
1,"INa",6.30000000e+00,9.61725373e-03
1,"INa",6.40000000e+00,1.01525531e-02
