position,label,x,y
1,"n",0.00000000e+00,3.15000000e-01
1,"n",1.00000000e-01,3.15181603e-01
1,"n",2.00000000e-01,3.15623515e-01
1,"n",3.00000000e-01,3.16319597e-01
1,"n",4.00000000e-01,3.17265552e-01
1,"n",5.00000000e-01,3.18459509e-01
1,"n",6.00000000e-01,3.19902762e-01
1,"n",7.00000000e-01,3.21600754e-01
1,"n",8.00000000e-01,3.23564437e-01
1,"n",9.00000000e-01,3.25812262e-01
1,"n",1.00000000e+00,3.28373217e-01
1,"n",1.10000000e+00,3.31109118e-01
1,"n",1.20000000e+00,3.33902509e-01
1,"n",1.30000000e+00,3.36819160e-01
1,"n",1.40000000e+00,3.39925317e-01
1,"n",1.50000000e+00,3.43298202e-01
1,"n",1.60000000e+00,3.47040133e-01
1,"n",1.70000000e+00,3.51301201e-01
1,"n",1.80000000e+00,3.56321550e-01
1,"n",1.90000000e+00,3.62520404e-01
1,"n",2.00000000e+00,3.70704193e-01
1,"n",2.10000000e+00,3.82586793e-01
1,"n",2.20000000e+00,4.01924133e-01
1,"n",2.30000000e+00,4.34518926e-01
1,"n",2.40000000e+00,4.78961890e-01
1,"n",2.50000000e+00,5.24064613e-01
1,"n",2.60000000e+00,5.64695965e-01
1,"n",2.70000000e+00,6.00346460e-01
1,"n",2.80000000e+00,6.31277511e-01
1,"n",2.90000000e+00,6.57886844e-01
1,"n",3.00000000e+00,6.80606434e-01
1,"n",3.10000000e+00,6.99861791e-01
1,"n",3.20000000e+00,7.16049900e-01
1,"n",3.30000000e+00,7.29528072e-01
1,"n",3.40000000e+00,7.40609936e-01
1,"n",3.50000000e+00,7.49565837e-01
1,"n",3.60000000e+00,7.56625705e-01
1,"n",3.70000000e+00,7.61982972e-01
1,"n",3.80000000e+00,7.65798464e-01
1,"n",3.90000000e+00,7.68203334e-01
1,"n",4.00000000e+00,7.69300060e-01
1,"n",4.10000000e+00,7.69160720e-01
1,"n",4.20000000e+00,7.67822250e-01
