position,label,x,y
1,"-V",0.00000000e+00,-0.00000000e+00
1,"-V",1.00000000e+00,1.62144003e+01
1,"-V",2.00000000e+00,2.32044513e+01
1,"-V",3.00000000e+00,6.16041141e+01
1,"-V",4.00000000e+00,9.72638178e+01
1,"-V",5.00000000e+00,9.98463098e+01
1,"-V",6.00000000e+00,9.68213381e+01
1,"-V",7.00000000e+00,9.21572513e+01
1,"-V",8.00000000e+00,8.69563361e+01
1,"-V",9.00000000e+00,8.17067780e+01
1,"-V",1.00000000e+01,7.66522534e+01
1,"-V",1.10000000e+01,7.19201473e+01
1,"-V",1.20000000e+01,6.75820636e+01
1,"-V",1.30000000e+01,6.36809660e+01
1,"-V",1.40000000e+01,6.02407437e+01
1,"-V",1.50000000e+01,5.72679488e+01
1,"-V",1.60000000e+01,5.47517247e+01
1,"-V",1.70000000e+01,5.26648607e+01
1,"-V",1.80000000e+01,5.09672206e+01
1,"-V",1.90000000e+01,4.96103450e+01
1,"-V",2.00000000e+01,4.85425008e+01
1,"-V",2.10000000e+01,4.77127619e+01
1,"-V",2.20000000e+01,4.70740007e+01
1,"-V",2.30000000e+01,4.65845893e+01
1,"-V",2.40000000e+01,4.62091439e+01
1,"-V",2.50000000e+01,4.59185007e+01
1,"-V",2.60000000e+01,4.56894328e+01
1,"-V",2.70000000e+01,4.55039509e+01
1,"-V",2.80000000e+01,4.53485219e+01
1,"-V",2.90000000e+01,4.52131733e+01
1,"-V",3.00000000e+01,4.50908744e+01
1,"-V",3.10000000e+01,4.49767166e+01
1,"-V",3.20000000e+01,4.48674334e+01
1,"-V",3.30000000e+01,4.47608836e+01
1,"-V",3.40000000e+01,4.46557172e+01
1,"-V",3.50000000e+01,4.45511626e+01
1,"-V",3.60000000e+01,4.44467624e+01
1,"-V",3.70000000e+01,4.43422872e+01
1,"-V",3.80000000e+01,4.42376101e+01
1,"-V",3.90000000e+01,4.41327312e+01
1,"-V",4.00000000e+01,4.40276383e+01
1,"-V",4.10000000e+01,4.39223814e+01
1,"-V",4.20000000e+01,4.38169788e+01
1,"-V",4.30000000e+01,4.37114802e+01
1,"-V",4.40000000e+01,4.36058998e+01
1,"-V",4.50000000e+01,4.35002759e+01
1,"-V",4.60000000e+01,4.33946261e+01
1,"-V",4.70000000e+01,4.32889663e+01
1,"-V",4.80000000e+01,4.31833223e+01
1,"-V",4.90000000e+01,4.30776997e+01
1,"-V",5.00000000e+01,4.29721032e+01
1,"-V",5.10000000e+01,4.28665523e+01
1,"-V",5.20000000e+01,4.27610421e+01
1,"-V",5.30000000e+01,4.26555883e+01
1,"-V",5.40000000e+01,4.25502035e+01
1,"-V",5.50000000e+01,4.24448955e+01
1,"-V",5.60000000e+01,4.23396690e+01
1,"-V",5.70000000e+01,4.22345195e+01
1,"-V",5.80000000e+01,4.21294811e+01
1,"-V",5.90000000e+01,4.20245327e+01
1,"-V",6.00000000e+01,4.19196797e+01
1,"-V",6.10000000e+01,4.18149563e+01
1,"-V",6.20000000e+01,4.17103467e+01
1,"-V",6.30000000e+01,4.16058521e+01
1,"-V",6.40000000e+01,4.15014958e+01
1,"-V",6.50000000e+01,4.13972649e+01
1,"-V",6.60000000e+01,4.12931718e+01
1,"-V",6.70000000e+01,4.11892138e+01
1,"-V",6.80000000e+01,4.10853906e+01
1,"-V",6.90000000e+01,4.09817199e+01
1,"-V",7.00000000e+01,4.08781863e+01
1,"-V",7.10000000e+01,4.07748108e+01
1,"-V",7.20000000e+01,4.06715807e+01
1,"-V",7.30000000e+01,4.05685101e+01
1,"-V",7.40000000e+01,4.04656028e+01
1,"-V",7.50000000e+01,4.03628350e+01
1,"-V",7.60000000e+01,4.02602470e+01
1,"-V",7.70000000e+01,4.01578101e+01
1,"-V",7.80000000e+01,4.00555453e+01
1,"-V",7.90000000e+01,3.99534320e+01
1,"-V",8.00000000e+01,3.98514927e+01
1,"-V",8.10000000e+01,3.97497081e+01
1,"-V",8.20000000e+01,3.96480963e+01
1,"-V",8.30000000e+01,3.95466378e+01
1,"-V",8.40000000e+01,3.94453522e+01
1,"-V",8.50000000e+01,3.93442219e+01
1,"-V",8.60000000e+01,3.92432610e+01
1,"-V",8.70000000e+01,3.91424636e+01
1,"-V",8.80000000e+01,3.90418209e+01
