position,label,x,y
1,"gK1",0.00000000e+00,6.22782392e-01
1,"gK1",1.00000000e+00,4.66082753e-01
1,"gK1",2.00000000e+00,4.14220436e-01
1,"gK1",3.00000000e+00,2.48862842e-01
1,"gK1",4.00000000e+00,2.21154633e-01
1,"gK1",5.00000000e+00,2.22846850e-01
1,"gK1",6.00000000e+00,2.20912755e-01
1,"gK1",7.00000000e+00,2.19220561e-01
1,"gK1",8.00000000e+00,2.19193673e-01
1,"gK1",9.00000000e+00,2.21189376e-01
1,"gK1",1.00000000e+01,2.25081800e-01
1,"gK1",1.10000000e+01,2.30537612e-01
1,"gK1",1.20000000e+01,2.37138179e-01
1,"gK1",1.30000000e+01,2.44434134e-01
1,"gK1",1.40000000e+01,2.51981490e-01
1,"gK1",1.50000000e+01,2.59377357e-01
1,"gK1",1.60000000e+01,2.66293804e-01
1,"gK1",1.70000000e+01,2.72501553e-01
1,"gK1",1.80000000e+01,2.77875719e-01
1,"gK1",1.90000000e+01,2.82385234e-01
1,"gK1",2.00000000e+01,2.86070495e-01
1,"gK1",2.10000000e+01,2.89018209e-01
1,"gK1",2.20000000e+01,2.91338221e-01
1,"gK1",2.30000000e+01,2.93145951e-01
1,"gK1",2.40000000e+01,2.94550594e-01
1,"gK1",2.50000000e+01,2.95648683e-01
1,"gK1",2.60000000e+01,2.96520749e-01
1,"gK1",2.70000000e+01,2.97231171e-01
1,"gK1",2.80000000e+01,2.97829449e-01
1,"gK1",2.90000000e+01,2.98352641e-01
1,"gK1",3.00000000e+01,2.98827159e-01
1,"gK1",3.10000000e+01,2.99271608e-01
1,"gK1",3.20000000e+01,2.99698456e-01
1,"gK1",3.30000000e+01,3.00115927e-01
1,"gK1",3.40000000e+01,3.00529236e-01
1,"gK1",3.50000000e+01,3.00941383e-01
1,"gK1",3.60000000e+01,3.01354159e-01
1,"gK1",3.70000000e+01,3.01768472e-01
1,"gK1",3.80000000e+01,3.02184832e-01
1,"gK1",3.90000000e+01,3.02603246e-01
1,"gK1",4.00000000e+01,3.03023775e-01
1,"gK1",4.10000000e+01,3.03446226e-01
1,"gK1",4.20000000e+01,3.03870533e-01
1,"gK1",4.30000000e+01,3.04296503e-01
1,"gK1",4.40000000e+01,3.04724084e-01
1,"gK1",4.50000000e+01,3.05153125e-01
1,"gK1",4.60000000e+01,3.05583558e-01
1,"gK1",4.70000000e+01,3.06015320e-01
1,"gK1",4.80000000e+01,3.06448308e-01
1,"gK1",4.90000000e+01,3.06882501e-01
1,"gK1",5.00000000e+01,3.07317881e-01
1,"gK1",5.10000000e+01,3.07754368e-01
1,"gK1",5.20000000e+01,3.08191982e-01
1,"gK1",5.30000000e+01,3.08630659e-01
1,"gK1",5.40000000e+01,3.09070346e-01
1,"gK1",5.50000000e+01,3.09511011e-01
1,"gK1",5.60000000e+01,3.09952631e-01
1,"gK1",5.70000000e+01,3.10395226e-01
1,"gK1",5.80000000e+01,3.10838651e-01
1,"gK1",5.90000000e+01,3.11282993e-01
1,"gK1",6.00000000e+01,3.11728228e-01
1,"gK1",6.10000000e+01,3.12174208e-01
1,"gK1",6.20000000e+01,3.12620999e-01
1,"gK1",6.30000000e+01,3.13068592e-01
1,"gK1",6.40000000e+01,3.13516887e-01
1,"gK1",6.50000000e+01,3.13965934e-01
1,"gK1",6.60000000e+01,3.14415679e-01
1,"gK1",6.70000000e+01,3.14866129e-01
1,"gK1",6.80000000e+01,3.15317283e-01
1,"gK1",6.90000000e+01,3.15769061e-01
1,"gK1",7.00000000e+01,3.16221527e-01
1,"gK1",7.10000000e+01,3.16674585e-01
1,"gK1",7.20000000e+01,3.17128287e-01
1,"gK1",7.30000000e+01,3.17582569e-01
1,"gK1",7.40000000e+01,3.18037408e-01
1,"gK1",7.50000000e+01,3.18492907e-01
