position,label,x,y
1,"INa",0.00000000e+00,6.21627955e-01
1,"INa",1.00000000e+00,3.49546422e+01
1,"INa",2.00000000e+00,2.00944295e+02
1,"INa",3.00000000e+00,8.39373480e+02
1,"INa",4.00000000e+00,1.92038084e+02
1,"INa",5.00000000e+00,6.11836087e+01
1,"INa",6.00000000e+00,2.76871660e+01
1,"INa",7.00000000e+00,1.38610753e+01
1,"INa",8.00000000e+00,7.95119832e+00
1,"INa",9.00000000e+00,6.08225118e+00
1,"INa",1.00000000e+01,6.44109145e+00
1,"INa",1.10000000e+01,8.14389567e+00
1,"INa",1.20000000e+01,1.07563886e+01
1,"INa",1.30000000e+01,1.40284221e+01
1,"INa",1.40000000e+01,1.77574245e+01
1,"INa",1.50000000e+01,2.17372228e+01
1,"INa",1.60000000e+01,2.57575417e+01
1,"INa",1.70000000e+01,2.96265542e+01
1,"INa",1.80000000e+01,3.31955772e+01
1,"INa",1.90000000e+01,3.63704980e+01
1,"INa",2.00000000e+01,3.91098092e+01
1,"INa",2.10000000e+01,4.14142632e+01
1,"INa",2.20000000e+01,4.33128307e+01
1,"INa",2.30000000e+01,4.48514722e+01
1,"INa",2.40000000e+01,4.60827326e+01
1,"INa",2.50000000e+01,4.70614652e+01
1,"INa",2.60000000e+01,4.78393374e+01
1,"INa",2.70000000e+01,4.84622100e+01
1,"INa",2.80000000e+01,4.89687550e+01
1,"INa",2.90000000e+01,4.93902518e+01
1,"INa",3.00000000e+01,4.97518916e+01
1,"INa",3.10000000e+01,5.00729223e+01
1,"INa",3.20000000e+01,5.03666709e+01
1,"INa",3.30000000e+01,5.06432502e+01
1,"INa",3.40000000e+01,5.09092135e+01
1,"INa",3.50000000e+01,5.11691434e+01
1,"INa",3.60000000e+01,5.14258798e+01
1,"INa",3.70000000e+01,5.16809844e+01
1,"INa",3.80000000e+01,5.19361162e+01
1,"INa",3.90000000e+01,5.21910898e+01
1,"INa",4.00000000e+01,5.24468671e+01
1,"INa",4.10000000e+01,5.27029648e+01
1,"INa",4.20000000e+01,5.29598033e+01
1,"INa",4.30000000e+01,5.32168988e+01
1,"INa",4.40000000e+01,5.34746405e+01
1,"INa",4.50000000e+01,5.37325358e+01
1,"INa",4.60000000e+01,5.39907471e+01
1,"INa",4.70000000e+01,5.42491318e+01
1,"INa",4.80000000e+01,5.45076674e+01
1,"INa",4.90000000e+01,5.47660837e+01
1,"INa",5.00000000e+01,5.50245461e+01
1,"INa",5.10000000e+01,5.52827238e+01
1,"INa",5.20000000e+01,5.55410033e+01
1,"INa",5.30000000e+01,5.57991554e+01
1,"INa",5.40000000e+01,5.60569964e+01
1,"INa",5.50000000e+01,5.63144685e+01
1,"INa",5.60000000e+01,5.65716169e+01
1,"INa",5.70000000e+01,5.68287335e+01
1,"INa",5.80000000e+01,5.70849184e+01
1,"INa",5.90000000e+01,5.73409777e+01
1,"INa",6.00000000e+01,5.75968835e+01
1,"INa",6.10000000e+01,5.78517102e+01
1,"INa",6.20000000e+01,5.81060626e+01
1,"INa",6.30000000e+01,5.83600089e+01
1,"INa",6.40000000e+01,5.86133242e+01
1,"INa",6.50000000e+01,5.88659431e+01
1,"INa",6.60000000e+01,5.91176430e+01
1,"INa",6.70000000e+01,5.93686064e+01
1,"INa",6.80000000e+01,5.96189371e+01
