position,label,x,y
1,"n",0.00000000e+00,3.15000000e-01
1,"n",1.00000000e+00,3.15274097e-01
1,"n",2.00000000e+00,3.15986776e-01
1,"n",3.00000000e+00,3.17777568e-01
1,"n",4.00000000e+00,3.22725463e-01
1,"n",5.00000000e+00,3.28639068e-01
1,"n",6.00000000e+00,3.34438242e-01
1,"n",7.00000000e+00,3.39915294e-01
1,"n",8.00000000e+00,3.45009755e-01
1,"n",9.00000000e+00,3.49711843e-01
1,"n",1.00000000e+01,3.54034956e-01
1,"n",1.10000000e+01,3.58003681e-01
1,"n",1.20000000e+01,3.61648147e-01
1,"n",1.30000000e+01,3.65001309e-01
1,"n",1.40000000e+01,3.68097405e-01
1,"n",1.50000000e+01,3.70970751e-01
1,"n",1.60000000e+01,3.73654605e-01
1,"n",1.70000000e+01,3.76180077e-01
1,"n",1.80000000e+01,3.78575299e-01
1,"n",1.90000000e+01,3.80864835e-01
1,"n",2.00000000e+01,3.83069502e-01
1,"n",2.10000000e+01,3.85206480e-01
1,"n",2.20000000e+01,3.87289542e-01
1,"n",2.30000000e+01,3.89329498e-01
1,"n",2.40000000e+01,3.91334646e-01
1,"n",2.50000000e+01,3.93311224e-01
1,"n",2.60000000e+01,3.95263800e-01
1,"n",2.70000000e+01,3.97195662e-01
1,"n",2.80000000e+01,3.99109118e-01
1,"n",2.90000000e+01,4.01005778e-01
1,"n",3.00000000e+01,4.02886712e-01
1,"n",3.10000000e+01,4.04752642e-01
1,"n",3.20000000e+01,4.06604046e-01
1,"n",3.30000000e+01,4.08441237e-01
1,"n",3.40000000e+01,4.10264435e-01
1,"n",3.50000000e+01,4.12073784e-01
1,"n",3.60000000e+01,4.13869398e-01
1,"n",3.70000000e+01,4.15651370e-01
1,"n",3.80000000e+01,4.17419789e-01
1,"n",3.90000000e+01,4.19174727e-01
1,"n",4.00000000e+01,4.20916268e-01
1,"n",4.10000000e+01,4.22644494e-01
1,"n",4.20000000e+01,4.24359479e-01
1,"n",4.30000000e+01,4.26061310e-01
1,"n",4.40000000e+01,4.27750067e-01
1,"n",4.50000000e+01,4.29425832e-01
1,"n",4.60000000e+01,4.31088701e-01
1,"n",4.70000000e+01,4.32738747e-01
1,"n",4.80000000e+01,4.34375726e-01
1,"n",4.90000000e+01,4.36000332e-01
1,"n",5.00000000e+01,4.37612435e-01
1,"n",5.10000000e+01,4.39212062e-01
1,"n",5.20000000e+01,4.40799292e-01
1,"n",5.30000000e+01,4.42374213e-01
1,"n",5.40000000e+01,4.43936912e-01
1,"n",5.50000000e+01,4.45487469e-01
1,"n",5.60000000e+01,4.47025973e-01
1,"n",5.70000000e+01,4.48552503e-01
1,"n",5.80000000e+01,4.50067142e-01
1,"n",5.90000000e+01,4.51569974e-01
1,"n",6.00000000e+01,4.53061082e-01
1,"n",6.10000000e+01,4.54540548e-01
1,"n",6.20000000e+01,4.56008456e-01
1,"n",6.30000000e+01,4.57464884e-01
1,"n",6.40000000e+01,4.58909651e-01
1,"n",6.50000000e+01,4.60343294e-01
1,"n",6.60000000e+01,4.61765768e-01
1,"n",6.70000000e+01,4.63177085e-01
1,"n",6.80000000e+01,4.64577323e-01
1,"n",6.90000000e+01,4.65966557e-01
1,"n",7.00000000e+01,4.67344867e-01
1,"n",7.10000000e+01,4.68712335e-01
1,"n",7.20000000e+01,4.70069030e-01
1,"n",7.30000000e+01,4.71415032e-01
1,"n",7.40000000e+01,4.72750415e-01
1,"n",7.50000000e+01,4.74075256e-01
1,"n",7.60000000e+01,4.75389628e-01
1,"n",7.70000000e+01,4.76693609e-01
1,"n",7.80000000e+01,4.77987269e-01
1,"n",7.90000000e+01,4.79270683e-01
1,"n",8.00000000e+01,4.80543920e-01
1,"n",8.10000000e+01,4.81807057e-01
1,"n",8.20000000e+01,4.83060162e-01
1,"n",8.30000000e+01,4.84303306e-01
1,"n",8.40000000e+01,4.85536558e-01
1,"n",8.50000000e+01,4.86759988e-01
1,"n",8.60000000e+01,4.87973669e-01
1,"n",8.70000000e+01,4.89177663e-01
1,"n",8.80000000e+01,4.90372041e-01
1,"n",8.90000000e+01,4.91556866e-01
1,"n",9.00000000e+01,4.92732211e-01
1,"n",9.10000000e+01,4.93898135e-01
1,"n",9.20000000e+01,4.95054706e-01
1,"n",9.30000000e+01,4.96201998e-01
