position,label,x,y
1,"-V",9.51000000e+01,3.62060567e-03
1,"-V",9.52000000e+01,3.62060364e-03
1,"-V",9.53000000e+01,3.62060197e-03
1,"-V",9.54000000e+01,3.62060063e-03
1,"-V",9.55000000e+01,3.62059962e-03
1,"-V",9.56000000e+01,3.62059892e-03
1,"-V",9.57000000e+01,3.62059851e-03
1,"-V",9.58000000e+01,3.62059840e-03
1,"-V",9.59000000e+01,3.62059856e-03
1,"-V",9.60000000e+01,3.62059897e-03
1,"-V",9.61000000e+01,3.62059964e-03
1,"-V",9.62000000e+01,3.62060054e-03
1,"-V",9.63000000e+01,3.62060166e-03
1,"-V",9.64000000e+01,3.62060299e-03
1,"-V",9.65000000e+01,3.62060452e-03
1,"-V",9.66000000e+01,3.62060624e-03
1,"-V",9.67000000e+01,3.62060813e-03
1,"-V",9.68000000e+01,3.62061018e-03
1,"-V",9.69000000e+01,3.62061238e-03
1,"-V",9.70000000e+01,3.62061472e-03
1,"-V",9.71000000e+01,3.62061718e-03
1,"-V",9.72000000e+01,3.62061976e-03
1,"-V",9.73000000e+01,3.62062245e-03
1,"-V",9.74000000e+01,3.62062523e-03
1,"-V",9.75000000e+01,3.62062809e-03
1,"-V",9.76000000e+01,3.62063103e-03
1,"-V",9.77000000e+01,3.62063404e-03
1,"-V",9.78000000e+01,3.62063710e-03
1,"-V",9.79000000e+01,3.62064020e-03
1,"-V",9.80000000e+01,3.62064335e-03
1,"-V",9.81000000e+01,3.62064652e-03
1,"-V",9.82000000e+01,3.62064971e-03
1,"-V",9.83000000e+01,3.62065291e-03
1,"-V",9.84000000e+01,3.62065612e-03
1,"-V",9.85000000e+01,3.62065933e-03
1,"-V",9.86000000e+01,3.62066253e-03
1,"-V",9.87000000e+01,3.62066571e-03
1,"-V",9.88000000e+01,3.62066887e-03
1,"-V",9.89000000e+01,3.62067200e-03
1,"-V",9.90000000e+01,3.62067509e-03
1,"-V",9.91000000e+01,3.62067814e-03
1,"-V",9.92000000e+01,3.62068115e-03
1,"-V",9.93000000e+01,3.62068411e-03
1,"-V",9.94000000e+01,3.62068702e-03
1,"-V",9.95000000e+01,3.62068986e-03
1,"-V",9.96000000e+01,3.62069265e-03
1,"-V",9.97000000e+01,3.62069536e-03
1,"-V",9.98000000e+01,3.62069801e-03
1,"-V",9.99000000e+01,3.62070058e-03
1,"-V",1.00000000e+02,3.62070308e-03
1,"-V",1.00100000e+02,9.72900299e-01
1,"-V",1.00200000e+02,1.89130697e+00
1,"-V",1.00300000e+02,2.77210231e+00
1,"-V",1.00400000e+02,3.62718527e+00
1,"-V",1.00500000e+02,4.46855254e+00
1,"-V",1.00600000e+02,5.30924694e+00
1,"-V",1.00700000e+02,6.16427789e+00
1,"-V",1.00800000e+02,7.05180950e+00
1,"-V",1.00900000e+02,7.99493021e+00
1,"-V",1.01000000e+02,9.02448695e+00
1,"-V",1.01100000e+02,9.20930281e+00
1,"-V",1.01200000e+02,9.57227513e+00
1,"-V",1.01300000e+02,1.00984667e+01
1,"-V",1.01400000e+02,1.07941084e+01
1,"-V",1.01500000e+02,1.16898420e+01
1,"-V",1.01600000e+02,1.28482154e+01
1,"-V",1.01700000e+02,1.43809456e+01
1,"-V",1.01800000e+02,1.64866053e+01
1,"-V",1.01900000e+02,1.95346123e+01
1,"-V",1.02000000e+02,2.42628417e+01
1,"-V",1.02100000e+02,3.22581300e+01
1,"-V",1.02200000e+02,4.69278803e+01
1,"-V",1.02300000e+02,7.23987803e+01
1,"-V",1.02400000e+02,9.72393849e+01
1,"-V",1.02500000e+02,1.04012641e+02
1,"-V",1.02600000e+02,1.02778496e+02
1,"-V",1.02700000e+02,9.96578224e+01
1,"-V",1.02800000e+02,9.56455734e+01
1,"-V",1.02900000e+02,9.10587927e+01
1,"-V",1.03000000e+02,8.61147330e+01
1,"-V",1.03100000e+02,8.09818390e+01
1,"-V",1.03200000e+02,7.57866937e+01
1,"-V",1.03300000e+02,7.06181719e+01
1,"-V",1.03400000e+02,6.55342638e+01
1,"-V",1.03500000e+02,6.05682217e+01
1,"-V",1.03600000e+02,5.57345432e+01
1,"-V",1.03700000e+02,5.10333750e+01
1,"-V",1.03800000e+02,4.64526138e+01
1,"-V",1.03900000e+02,4.19667297e+01
1,"-V",1.04000000e+02,3.75313751e+01
1,"-V",1.04100000e+02,3.30734905e+01
1,"-V",1.04200000e+02,2.84781971e+01
1,"-V",1.04300000e+02,2.35773283e+01
1,"-V",1.04400000e+02,1.81557881e+01
1,"-V",1.04500000e+02,1.20263988e+01
1,"-V",1.04600000e+02,5.28169993e+00
1,"-V",1.04700000e+02,-1.28259577e+00
1,"-V",1.04800000e+02,-6.30236819e+00
1,"-V",1.04900000e+02,-9.15602229e+00
1,"-V",1.05000000e+02,-1.04371694e+01
1,"-V",1.05100000e+02,-1.09397779e+01
1,"-V",1.05200000e+02,-1.11185912e+01
1,"-V",1.05300000e+02,-1.11689531e+01
1,"-V",1.05400000e+02,-1.11675310e+01
1,"-V",1.05500000e+02,-1.11441191e+01
1,"-V",1.05600000e+02,-1.11105316e+01
1,"-V",1.05700000e+02,-1.10715933e+01
1,"-V",1.05800000e+02,-1.10293353e+01
1,"-V",1.05900000e+02,-1.09846342e+01
1,"-V",1.06000000e+02,-1.09378739e+01
1,"-V",1.06100000e+02,-1.08892206e+01
1,"-V",1.06200000e+02,-1.08387422e+01
1,"-V",1.06300000e+02,-1.07864614e+01
1,"-V",1.06400000e+02,-1.07323795e+01
1,"-V",1.06500000e+02,-1.06764885e+01
1,"-V",1.06600000e+02,-1.06187768e+01
1,"-V",1.06700000e+02,-1.05592319e+01
1,"-V",1.06800000e+02,-1.04978422e+01
1,"-V",1.06900000e+02,-1.04345975e+01
1,"-V",1.07000000e+02,-1.03694901e+01
1,"-V",1.07100000e+02,-1.03025145e+01
1,"-V",1.07200000e+02,-1.02336680e+01
1,"-V",1.07300000e+02,-1.01629507e+01
1,"-V",1.07400000e+02,-1.00903657e+01
1,"-V",1.07500000e+02,-1.00159188e+01
1,"-V",1.07600000e+02,-9.93961926e+00
1,"-V",1.07700000e+02,-9.86147917e+00
1,"-V",1.07800000e+02,-9.78151383e+00
1,"-V",1.07900000e+02,-9.69974165e+00
1,"-V",1.08000000e+02,-9.61618414e+00
1,"-V",1.08100000e+02,-9.53086593e+00
1,"-V",1.08200000e+02,-9.44381468e+00
1,"-V",1.08300000e+02,-9.35506109e+00
1,"-V",1.08400000e+02,-9.26463879e+00
1,"-V",1.08500000e+02,-9.17258432e+00
1,"-V",1.08600000e+02,-9.07893699e+00
1,"-V",1.08700000e+02,-8.98373883e+00
1,"-V",1.08800000e+02,-8.88703446e+00
1,"-V",1.08900000e+02,-8.78887100e+00
1,"-V",1.09000000e+02,-8.68929790e+00
1,"-V",1.09100000e+02,-8.58836687e+00
1,"-V",1.09200000e+02,-8.48613169e+00
1,"-V",1.09300000e+02,-8.38264808e+00
1,"-V",1.09400000e+02,-8.27797355e+00
1,"-V",1.09500000e+02,-8.17216724e+00
1,"-V",1.09600000e+02,-8.06528977e+00
1,"-V",1.09700000e+02,-7.95740304e+00
1,"-V",1.09800000e+02,-7.84857011e+00
1,"-V",1.09900000e+02,-7.73885501e+00
1,"-V",1.10000000e+02,-7.62832254e+00
1,"-V",1.10100000e+02,-7.51703818e+00
1,"-V",1.10200000e+02,-7.40506784e+00
1,"-V",1.10300000e+02,-7.29247775e+00
1,"-V",1.10400000e+02,-7.17933428e+00
1,"-V",1.10500000e+02,-7.06570378e+00
1,"-V",1.10600000e+02,-6.95165243e+00
1,"-V",1.10700000e+02,-6.83724610e+00
1,"-V",1.10800000e+02,-6.72255019e+00
1,"-V",1.10900000e+02,-6.60762952e+00
1,"-V",1.11000000e+02,-6.49254817e+00
1,"-V",1.11100000e+02,-6.37736936e+00
1,"-V",1.11200000e+02,-6.26215536e+00
1,"-V",1.11300000e+02,-6.14696737e+00
1,"-V",1.11400000e+02,-6.03186540e+00
1,"-V",1.11500000e+02,-5.91690820e+00
1,"-V",1.11600000e+02,-5.80215318e+00
1,"-V",1.11700000e+02,-5.68765629e+00
1,"-V",1.11800000e+02,-5.57347203e+00
1,"-V",1.11900000e+02,-5.45965331e+00
1,"-V",1.12000000e+02,-5.34625144e+00
1,"-V",1.12100000e+02,-5.23331609e+00
1,"-V",1.12200000e+02,-5.12089524e+00
1,"-V",1.12300000e+02,-5.00903515e+00
1,"-V",1.12400000e+02,-4.89778034e+00
1,"-V",1.12500000e+02,-4.78717360e+00
1,"-V",1.12600000e+02,-4.67725595e+00
1,"-V",1.12700000e+02,-4.56806667e+00
1,"-V",1.12800000e+02,-4.45964326e+00
1,"-V",1.12900000e+02,-4.35202151e+00
1,"-V",1.13000000e+02,-4.24523549e+00
1,"-V",1.13100000e+02,-4.13931757e+00
1,"-V",1.13200000e+02,-4.03429844e+00
1,"-V",1.13300000e+02,-3.93020716e+00
1,"-V",1.13400000e+02,-3.82707119e+00
1,"-V",1.13500000e+02,-3.72491644e+00
1,"-V",1.13600000e+02,-3.62376730e+00
1,"-V",1.13700000e+02,-3.52364666e+00
1,"-V",1.13800000e+02,-3.42457603e+00
1,"-V",1.13900000e+02,-3.32657552e+00
1,"-V",1.14000000e+02,-3.22966392e+00
1,"-V",1.14100000e+02,-3.13385878e+00
1,"-V",1.14200000e+02,-3.03917641e+00
1,"-V",1.14300000e+02,-2.94563197e+00
1,"-V",1.14400000e+02,-2.85323955e+00
1,"-V",1.14500000e+02,-2.76201217e+00
1,"-V",1.14600000e+02,-2.67196188e+00
1,"-V",1.14700000e+02,-2.58309978e+00
1,"-V",1.14800000e+02,-2.49543612e+00
1,"-V",1.14900000e+02,-2.40898032e+00
1,"-V",1.15000000e+02,-2.32374105e+00
1,"-V",1.15100000e+02,-2.23972625e+00
1,"-V",1.15200000e+02,-2.15694322e+00
1,"-V",1.15300000e+02,-2.07539863e+00
1,"-V",1.15400000e+02,-1.99509859e+00
1,"-V",1.15500000e+02,-1.91604871e+00
1,"-V",1.15600000e+02,-1.83825412e+00
1,"-V",1.15700000e+02,-1.76171951e+00
1,"-V",1.15800000e+02,-1.68644918e+00
1,"-V",1.15900000e+02,-1.61244711e+00
1,"-V",1.16000000e+02,-1.53971691e+00
1,"-V",1.16100000e+02,-1.46826195e+00
1,"-V",1.16200000e+02,-1.39808533e+00
1,"-V",1.16300000e+02,-1.32918992e+00
1,"-V",1.16400000e+02,-1.26157840e+00
1,"-V",1.16500000e+02,-1.19525325e+00
1,"-V",1.16600000e+02,-1.13021681e+00
1,"-V",1.16700000e+02,-1.06647128e+00
1,"-V",1.16800000e+02,-1.00401874e+00
1,"-V",1.16900000e+02,-9.42861125e-01
1,"-V",1.17000000e+02,-8.83000296e-01
1,"-V",1.17100000e+02,-8.24438004e-01
1,"-V",1.17200000e+02,-7.67175905e-01
1,"-V",1.17300000e+02,-7.11215564e-01
1,"-V",1.17400000e+02,-6.56558453e-01
1,"-V",1.17500000e+02,-6.03205941e-01
1,"-V",1.17600000e+02,-5.51159298e-01
1,"-V",1.17700000e+02,-5.00419676e-01
1,"-V",1.17800000e+02,-4.50988102e-01
1,"-V",1.17900000e+02,-4.02865465e-01
1,"-V",1.18000000e+02,-3.56052498e-01
1,"-V",1.18100000e+02,-3.10549759e-01
1,"-V",1.18200000e+02,-2.66357609e-01
1,"-V",1.18300000e+02,-2.23476194e-01
1,"-V",1.18400000e+02,-1.81905411e-01
1,"-V",1.18500000e+02,-1.41644892e-01
1,"-V",1.18600000e+02,-1.02693966e-01
1,"-V",1.18700000e+02,-6.50516302e-02
1,"-V",1.18800000e+02,-2.87165221e-02
1,"-V",1.18900000e+02,6.31311892e-03
1,"-V",1.19000000e+02,4.00394843e-02
1,"-V",1.19100000e+02,7.24652327e-02
1,"-V",1.19200000e+02,1.03593527e-01
1,"-V",1.19300000e+02,1.33428072e-01
1,"-V",1.19400000e+02,1.61973151e-01
1,"-V",1.19500000e+02,1.89233667e-01
1,"-V",1.19600000e+02,2.15215177e-01
1,"-V",1.19700000e+02,2.39923934e-01
1,"-V",1.19800000e+02,2.63366920e-01
1,"-V",1.19900000e+02,2.85551888e-01
1,"-V",1.20000000e+02,3.06487392e-01
