position,label,x,y
1,"-V",0.00000000e+00,-0.00000000e+00
1,"-V",1.00000000e-01,9.35009594e-01
1,"-V",2.00000000e-01,1.83453489e+00
1,"-V",3.00000000e-01,2.70652578e+00
1,"-V",4.00000000e-01,3.55985752e+00
1,"-V",5.00000000e-01,4.40467712e+00
1,"-V",6.00000000e-01,5.25289095e+00
1,"-V",7.00000000e-01,6.11889388e+00
1,"-V",8.00000000e-01,7.02070024e+00
1,"-V",9.00000000e-01,7.98175271e+00
1,"-V",1.00000000e+00,9.03390855e+00
1,"-V",1.10000000e+00,9.24728024e+00
1,"-V",1.20000000e+00,9.64666001e+00
1,"-V",1.30000000e+00,1.02203425e+01
1,"-V",1.40000000e+00,1.09794624e+01
1,"-V",1.50000000e+00,1.19627499e+01
1,"-V",1.60000000e+00,1.32468543e+01
1,"-V",1.70000000e+00,1.49695287e+01
1,"-V",1.80000000e+00,1.73807959e+01
1,"-V",1.90000000e+00,2.09600410e+01
1,"-V",2.00000000e+00,2.66993360e+01
1,"-V",2.10000000e+00,3.67873546e+01
1,"-V",2.20000000e+00,5.56094406e+01
1,"-V",2.30000000e+00,8.42268272e+01
1,"-V",2.40000000e+00,1.02241740e+02
1,"-V",2.50000000e+00,1.04305844e+02
1,"-V",2.60000000e+00,1.02086855e+02
1,"-V",2.70000000e+00,9.86095633e+01
1,"-V",2.80000000e+00,9.43926948e+01
1,"-V",2.90000000e+00,8.96894335e+01
1,"-V",3.00000000e+00,8.46923918e+01
1,"-V",3.10000000e+00,7.95516725e+01
1,"-V",3.20000000e+00,7.43786923e+01
1,"-V",3.30000000e+00,6.92507602e+01
1,"-V",3.40000000e+00,6.42169440e+01
1,"-V",3.50000000e+00,5.93041322e+01
1,"-V",3.60000000e+00,5.45223190e+01
1,"-V",3.70000000e+00,4.98682990e+01
1,"-V",3.80000000e+00,4.53268915e+01
1,"-V",3.90000000e+00,4.08686826e+01
1,"-V",4.00000000e+00,3.64434320e+01
1,"-V",4.10000000e+00,3.19691188e+01
1,"-V",4.20000000e+00,2.73184508e+01
1,"-V",4.30000000e+00,2.23092944e+01
1,"-V",4.40000000e+00,1.67208391e+01
1,"-V",4.50000000e+00,1.04005470e+01
1,"-V",4.60000000e+00,3.57677872e+00
1,"-V",4.70000000e+00,-2.74441876e+00
1,"-V",4.80000000e+00,-7.23145546e+00
1,"-V",4.90000000e+00,-9.60701917e+00
1,"-V",5.00000000e+00,-1.06252241e+01
1,"-V",5.10000000e+00,-1.10132955e+01
1,"-V",5.20000000e+00,-1.11458277e+01
1,"-V",5.30000000e+00,-1.11774912e+01
1,"-V",5.40000000e+00,-1.11682545e+01
1,"-V",5.50000000e+00,-1.11413939e+01
1,"-V",5.60000000e+00,-1.11061620e+01
1,"-V",5.70000000e+00,-1.10663504e+01
1,"-V",5.80000000e+00,-1.10235593e+01
1,"-V",5.90000000e+00,-1.09784795e+01
1,"-V",6.00000000e+00,-1.09314119e+01
1,"-V",6.10000000e+00,-1.08824847e+01
1,"-V",6.20000000e+00,-1.08317477e+01
1,"-V",6.30000000e+00,-1.07792147e+01
1,"-V",6.40000000e+00,-1.07248829e+01
1,"-V",6.50000000e+00,-1.06687422e+01
1,"-V",6.60000000e+00,-1.06107800e+01
1,"-V",6.70000000e+00,-1.05509835e+01
1,"-V",6.80000000e+00,-1.04893410e+01
1,"-V",6.90000000e+00,-1.04258425e+01
1,"-V",7.00000000e+00,-1.03604805e+01
1,"-V",7.10000000e+00,-1.02932498e+01
1,"-V",7.20000000e+00,-1.02241480e+01
1,"-V",7.30000000e+00,-1.01531757e+01
1,"-V",7.40000000e+00,-1.00803363e+01
1,"-V",7.50000000e+00,-1.00056360e+01
1,"-V",7.60000000e+00,-9.92908456e+00
1,"-V",7.70000000e+00,-9.85069440e+00
1,"-V",7.80000000e+00,-9.77048126e+00
1,"-V",7.90000000e+00,-9.68846398e+00
1,"-V",8.00000000e+00,-9.60466450e+00
1,"-V",8.10000000e+00,-9.51910784e+00
1,"-V",8.20000000e+00,-9.43182208e+00
1,"-V",8.30000000e+00,-9.34283833e+00
1,"-V",8.40000000e+00,-9.25219061e+00
1,"-V",8.50000000e+00,-9.15991584e+00
1,"-V",8.60000000e+00,-9.06605369e+00
1,"-V",8.70000000e+00,-8.97064657e+00
1,"-V",8.80000000e+00,-8.87373942e+00
1,"-V",8.90000000e+00,-8.77537969e+00
1,"-V",9.00000000e+00,-8.67561715e+00
1,"-V",9.10000000e+00,-8.57450379e+00
1,"-V",9.20000000e+00,-8.47209365e+00
1,"-V",9.30000000e+00,-8.36844271e+00
1,"-V",9.40000000e+00,-8.26360871e+00
1,"-V",9.50000000e+00,-8.15765098e+00
1,"-V",9.60000000e+00,-8.05063034e+00
1,"-V",9.70000000e+00,-7.94260884e+00
1,"-V",9.80000000e+00,-7.83364969e+00
1,"-V",9.90000000e+00,-7.72381701e+00
1,"-V",1.00000000e+01,-7.61317572e+00
1,"-V",1.01000000e+01,-7.50179135e+00
1,"-V",1.02000000e+01,-7.38972987e+00
1,"-V",1.03000000e+01,-7.27705753e+00
1,"-V",1.04000000e+01,-7.16384069e+00
1,"-V",1.05000000e+01,-7.05014570e+00
1,"-V",1.06000000e+01,-6.93603869e+00
1,"-V",1.07000000e+01,-6.82158547e+00
1,"-V",1.08000000e+01,-6.70685138e+00
1,"-V",1.09000000e+01,-6.59190112e+00
1,"-V",1.10000000e+01,-6.47679866e+00
1,"-V",1.11000000e+01,-6.36160711e+00
1,"-V",1.12000000e+01,-6.24638858e+00
1,"-V",1.13000000e+01,-6.13120412e+00
1,"-V",1.14000000e+01,-6.01611356e+00
1,"-V",1.15000000e+01,-5.90117548e+00
1,"-V",1.16000000e+01,-5.78644708e+00
1,"-V",1.17000000e+01,-5.67198413e+00
1,"-V",1.18000000e+01,-5.55784088e+00
1,"-V",1.19000000e+01,-5.44407006e+00
1,"-V",1.20000000e+01,-5.33072274e+00
1,"-V",1.21000000e+01,-5.21784835e+00
1,"-V",1.22000000e+01,-5.10549464e+00
1,"-V",1.23000000e+01,-4.99370764e+00
1,"-V",1.24000000e+01,-4.88253163e+00
1,"-V",1.25000000e+01,-4.77200916e+00
1,"-V",1.26000000e+01,-4.66218100e+00
1,"-V",1.27000000e+01,-4.55308618e+00
1,"-V",1.28000000e+01,-4.44476199e+00
1,"-V",1.29000000e+01,-4.33724397e+00
1,"-V",1.30000000e+01,-4.23056595e+00
1,"-V",1.31000000e+01,-4.12476007e+00
1,"-V",1.32000000e+01,-4.01985681e+00
1,"-V",1.33000000e+01,-3.91588500e+00
1,"-V",1.34000000e+01,-3.81287189e+00
1,"-V",1.35000000e+01,-3.71084318e+00
1,"-V",1.36000000e+01,-3.60982305e+00
1,"-V",1.37000000e+01,-3.50983421e+00
1,"-V",1.38000000e+01,-3.41089797e+00
1,"-V",1.39000000e+01,-3.31303427e+00
1,"-V",1.40000000e+01,-3.21626172e+00
1,"-V",1.41000000e+01,-3.12059771e+00
1,"-V",1.42000000e+01,-3.02605838e+00
1,"-V",1.43000000e+01,-2.93265877e+00
1,"-V",1.44000000e+01,-2.84041280e+00
1,"-V",1.45000000e+01,-2.74933337e+00
1,"-V",1.46000000e+01,-2.65943240e+00
1,"-V",1.47000000e+01,-2.57072088e+00
1,"-V",1.48000000e+01,-2.48320895e+00
1,"-V",1.49000000e+01,-2.39690594e+00
1,"-V",1.50000000e+01,-2.31182041e+00
1,"-V",1.51000000e+01,-2.22796023e+00
1,"-V",1.52000000e+01,-2.14533261e+00
1,"-V",1.53000000e+01,-2.06394415e+00
1,"-V",1.54000000e+01,-1.98380091e+00
1,"-V",1.55000000e+01,-1.90490844e+00
1,"-V",1.56000000e+01,-1.82727180e+00
1,"-V",1.57000000e+01,-1.75089565e+00
1,"-V",1.58000000e+01,-1.67578426e+00
1,"-V",1.59000000e+01,-1.60194156e+00
1,"-V",1.60000000e+01,-1.52937115e+00
1,"-V",1.61000000e+01,-1.45807637e+00
1,"-V",1.62000000e+01,-1.38806029e+00
1,"-V",1.63000000e+01,-1.31932578e+00
1,"-V",1.64000000e+01,-1.25187549e+00
1,"-V",1.65000000e+01,-1.18571192e+00
1,"-V",1.66000000e+01,-1.12083740e+00
1,"-V",1.67000000e+01,-1.05725411e+00
1,"-V",1.68000000e+01,-9.94964145e-01
1,"-V",1.69000000e+01,-9.33969447e-01
1,"-V",1.70000000e+01,-8.74271874e-01
1,"-V",1.71000000e+01,-8.15873186e-01
1,"-V",1.72000000e+01,-7.58775045e-01
1,"-V",1.73000000e+01,-7.02979026e-01
1,"-V",1.74000000e+01,-6.48486604e-01
1,"-V",1.75000000e+01,-5.95299161e-01
1,"-V",1.76000000e+01,-5.43417969e-01
1,"-V",1.77000000e+01,-4.92844188e-01
1,"-V",1.78000000e+01,-4.43578850e-01
1,"-V",1.79000000e+01,-3.95622846e-01
1,"-V",1.80000000e+01,-3.48976910e-01
1,"-V",1.81000000e+01,-3.03641598e-01
1,"-V",1.82000000e+01,-2.59617267e-01
1,"-V",1.83000000e+01,-2.16904056e-01
1,"-V",1.84000000e+01,-1.75501851e-01
1,"-V",1.85000000e+01,-1.35410269e-01
1,"-V",1.86000000e+01,-9.66286204e-02
1,"-V",1.87000000e+01,-5.91558807e-02
1,"-V",1.88000000e+01,-2.29906588e-02
1,"-V",1.89000000e+01,1.18688377e-02
1,"-V",1.90000000e+01,4.54248377e-02
1,"-V",1.91000000e+01,7.76800425e-02
1,"-V",1.92000000e+01,1.08637663e-01
1,"-V",1.93000000e+01,1.38301458e-01
1,"-V",1.94000000e+01,1.66675770e-01
1,"-V",1.95000000e+01,1.93765568e-01
1,"-V",1.96000000e+01,2.19576480e-01
1,"-V",1.97000000e+01,2.44114837e-01
1,"-V",1.98000000e+01,2.67387705e-01
1,"-V",1.99000000e+01,2.89402926e-01
1,"-V",2.00000000e+01,3.10169149e-01
1,"-V",2.01000000e+01,3.29695870e-01
1,"-V",2.02000000e+01,3.47993457e-01
1,"-V",2.03000000e+01,3.65073187e-01
1,"-V",2.04000000e+01,3.80947269e-01
1,"-V",2.05000000e+01,3.95628872e-01
1,"-V",2.06000000e+01,4.09132148e-01
1,"-V",2.07000000e+01,4.21472249e-01
1,"-V",2.08000000e+01,4.32665342e-01
1,"-V",2.09000000e+01,4.42728626e-01
1,"-V",2.10000000e+01,4.51680336e-01
1,"-V",2.11000000e+01,4.59539746e-01
1,"-V",2.12000000e+01,4.66327174e-01
1,"-V",2.13000000e+01,4.72063970e-01
1,"-V",2.14000000e+01,4.76772511e-01
1,"-V",2.15000000e+01,4.80476186e-01
1,"-V",2.16000000e+01,4.83199376e-01
1,"-V",2.17000000e+01,4.84967428e-01
1,"-V",2.18000000e+01,4.85806630e-01
1,"-V",2.19000000e+01,4.85744172e-01
1,"-V",2.20000000e+01,4.84808111e-01
1,"-V",2.21000000e+01,4.83027325e-01
1,"-V",2.22000000e+01,4.80431468e-01
1,"-V",2.23000000e+01,4.77050913e-01
1,"-V",2.24000000e+01,4.72916701e-01
1,"-V",2.25000000e+01,4.68060475e-01
1,"-V",2.26000000e+01,4.62514422e-01
1,"-V",2.27000000e+01,4.56311201e-01
1,"-V",2.28000000e+01,4.49483878e-01
1,"-V",2.29000000e+01,4.42065849e-01
1,"-V",2.30000000e+01,4.34090770e-01
1,"-V",2.31000000e+01,4.25592479e-01
1,"-V",2.32000000e+01,4.16604922e-01
1,"-V",2.33000000e+01,4.07162072e-01
1,"-V",2.34000000e+01,3.97297853e-01
1,"-V",2.35000000e+01,3.87046063e-01
1,"-V",2.36000000e+01,3.76440299e-01
1,"-V",2.37000000e+01,3.65513878e-01
1,"-V",2.38000000e+01,3.54299764e-01
1,"-V",2.39000000e+01,3.42830500e-01
1,"-V",2.40000000e+01,3.31138130e-01
1,"-V",2.41000000e+01,3.19254143e-01
1,"-V",2.42000000e+01,3.07209399e-01
1,"-V",2.43000000e+01,2.95034075e-01
1,"-V",2.44000000e+01,2.82757604e-01
1,"-V",2.45000000e+01,2.70408625e-01
1,"-V",2.46000000e+01,2.58014930e-01
1,"-V",2.47000000e+01,2.45603423e-01
1,"-V",2.48000000e+01,2.33200078e-01
1,"-V",2.49000000e+01,2.20829898e-01
1,"-V",2.50000000e+01,2.08516891e-01
1,"-V",2.51000000e+01,1.96284036e-01
1,"-V",2.52000000e+01,1.84153263e-01
1,"-V",2.53000000e+01,1.72145432e-01
1,"-V",2.54000000e+01,1.60280321e-01
1,"-V",2.55000000e+01,1.48576615e-01
1,"-V",2.56000000e+01,1.37051897e-01
1,"-V",2.57000000e+01,1.25722650e-01
1,"-V",2.58000000e+01,1.14604256e-01
1,"-V",2.59000000e+01,1.03711001e-01
1,"-V",2.60000000e+01,9.30560850e-02
1,"-V",2.61000000e+01,8.26516325e-02
1,"-V",2.62000000e+01,7.25087073e-02
1,"-V",2.63000000e+01,6.26373303e-02
1,"-V",2.64000000e+01,5.30464996e-02
1,"-V",2.65000000e+01,4.37442125e-02
1,"-V",2.66000000e+01,3.47374903e-02
1,"-V",2.67000000e+01,2.60324046e-02
1,"-V",2.68000000e+01,1.76341051e-02
1,"-V",2.69000000e+01,9.54684927e-03
1,"-V",2.70000000e+01,1.77403314e-03
1,"-V",2.71000000e+01,-5.68177707e-03
1,"-V",2.72000000e+01,-1.28188122e-02
1,"-V",2.73000000e+01,-1.96360670e-02
1,"-V",2.74000000e+01,-2.61332661e-02
1,"-V",2.75000000e+01,-3.23108299e-02
1,"-V",2.76000000e+01,-3.81698404e-02
1,"-V",2.77000000e+01,-4.37120066e-02
1,"-V",2.78000000e+01,-4.89396305e-02
1,"-V",2.79000000e+01,-5.38555725e-02
1,"-V",2.80000000e+01,-5.84632181e-02
1,"-V",2.81000000e+01,-6.27664445e-02
1,"-V",2.82000000e+01,-6.67695876e-02
1,"-V",2.83000000e+01,-7.04774098e-02
1,"-V",2.84000000e+01,-7.38950684e-02
1,"-V",2.85000000e+01,-7.70280850e-02
1,"-V",2.86000000e+01,-7.98823151e-02
1,"-V",2.87000000e+01,-8.24639191e-02
1,"-V",2.88000000e+01,-8.47793338e-02
1,"-V",2.89000000e+01,-8.68352453e-02
1,"-V",2.90000000e+01,-8.86385617e-02
1,"-V",2.91000000e+01,-9.01963884e-02
1,"-V",2.92000000e+01,-9.15160029e-02
1,"-V",2.93000000e+01,-9.26048312e-02
1,"-V",2.94000000e+01,-9.34704255e-02
1,"-V",2.95000000e+01,-9.41204420e-02
1,"-V",2.96000000e+01,-9.45626205e-02
1,"-V",2.97000000e+01,-9.48047642e-02
1,"-V",2.98000000e+01,-9.48547216e-02
1,"-V",2.99000000e+01,-9.47203678e-02
1,"-V",3.00000000e+01,-9.44095879e-02
1,"-V",3.01000000e+01,-9.39302610e-02
1,"-V",3.02000000e+01,-9.32902450e-02
1,"-V",3.03000000e+01,-9.24973620e-02
1,"-V",3.04000000e+01,-9.15593850e-02
1,"-V",3.05000000e+01,-9.04840253e-02
1,"-V",3.06000000e+01,-8.92789207e-02
1,"-V",3.07000000e+01,-8.79516241e-02
1,"-V",3.08000000e+01,-8.65095933e-02
1,"-V",3.09000000e+01,-8.49601815e-02
1,"-V",3.10000000e+01,-8.33106282e-02
1,"-V",3.11000000e+01,-8.15680509e-02
1,"-V",3.12000000e+01,-7.97394378e-02
1,"-V",3.13000000e+01,-7.78316403e-02
1,"-V",3.14000000e+01,-7.58513672e-02
1,"-V",3.15000000e+01,-7.38051784e-02
1,"-V",3.16000000e+01,-7.16994797e-02
1,"-V",3.17000000e+01,-6.95405184e-02
1,"-V",3.18000000e+01,-6.73343789e-02
1,"-V",3.19000000e+01,-6.50869785e-02
1,"-V",3.20000000e+01,-6.28040650e-02
1,"-V",3.21000000e+01,-6.04912132e-02
1,"-V",3.22000000e+01,-5.81538226e-02
1,"-V",3.23000000e+01,-5.57971156e-02
1,"-V",3.24000000e+01,-5.34261357e-02
1,"-V",3.25000000e+01,-5.10457464e-02
1,"-V",3.26000000e+01,-4.86606303e-02
1,"-V",3.27000000e+01,-4.62752882e-02
