position,label,x,y
1,"-20 mV",-1.90000000e+00,6.24817591e-02
1,"-20 mV",-1.80000000e+00,6.17198974e-02
1,"-20 mV",-1.70000000e+00,6.09681945e-02
1,"-20 mV",-1.60000000e+00,6.02265140e-02
1,"-20 mV",-1.50000000e+00,5.94947209e-02
1,"-20 mV",-1.40000000e+00,5.87726822e-02
1,"-20 mV",-1.30000000e+00,5.80602667e-02
1,"-20 mV",-1.20000000e+00,5.73573448e-02
1,"-20 mV",-1.10000000e+00,5.66637887e-02
1,"-20 mV",-1.00000000e+00,5.59794726e-02
1,"-20 mV",-9.00000000e-01,5.53042719e-02
1,"-20 mV",-8.00000000e-01,5.46380643e-02
1,"-20 mV",-7.00000000e-01,5.39807286e-02
1,"-20 mV",-6.00000000e-01,5.33321454e-02
1,"-20 mV",-5.00000000e-01,5.26921967e-02
1,"-20 mV",-4.00000000e-01,5.20607664e-02
1,"-20 mV",-3.00000000e-01,5.14377398e-02
1,"-20 mV",-2.00000000e-01,5.08230038e-02
1,"-20 mV",-1.00000000e-01,5.02164468e-02
1,"-20 mV",-1.87905247e-14,4.96179588e-02
1,"-20 mV",1.00000000e-01,-8.57718883e+00
1,"-20 mV",2.00000000e-01,2.00536280e+00
1,"-20 mV",3.00000000e-01,1.72500768e+01
1,"-20 mV",4.00000000e-01,3.54742851e+01
1,"-20 mV",5.00000000e-01,5.50405496e+01
1,"-20 mV",6.00000000e-01,7.46173093e+01
1,"-20 mV",7.00000000e-01,9.32386111e+01
1,"-20 mV",8.00000000e-01,1.10273832e+02
1,"-20 mV",9.00000000e-01,1.25364714e+02
1,"-20 mV",1.00000000e+00,1.38357602e+02
1,"-20 mV",1.10000000e+00,1.49243029e+02
1,"-20 mV",1.20000000e+00,1.58106729e+02
1,"-20 mV",1.30000000e+00,1.65092283e+02
1,"-20 mV",1.40000000e+00,1.70373955e+02
1,"-20 mV",1.50000000e+00,1.74137771e+02
1,"-20 mV",1.60000000e+00,1.76568943e+02
1,"-20 mV",1.70000000e+00,1.77843968e+02
1,"-20 mV",1.80000000e+00,1.78126083e+02
1,"-20 mV",1.90000000e+00,1.77563035e+02
1,"-20 mV",2.00000000e+00,1.76286403e+02
1,"-20 mV",2.10000000e+00,1.74411915e+02
1,"-20 mV",2.20000000e+00,1.72040357e+02
1,"-20 mV",2.30000000e+00,1.69258815e+02
1,"-20 mV",2.40000000e+00,1.66142053e+02
1,"-20 mV",2.50000000e+00,1.62753913e+02
1,"-20 mV",2.60000000e+00,1.59148669e+02
1,"-20 mV",2.70000000e+00,1.55372285e+02
1,"-20 mV",2.80000000e+00,1.51463557e+02
1,"-20 mV",2.90000000e+00,1.47455135e+02
1,"-20 mV",3.00000000e+00,1.43374424e+02
1,"-20 mV",3.10000000e+00,1.39244364e+02
1,"-20 mV",3.20000000e+00,1.35084118e+02
1,"-20 mV",3.30000000e+00,1.30909648e+02
1,"-20 mV",3.40000000e+00,1.26734218e+02
1,"-20 mV",3.50000000e+00,1.22568822e+02
1,"-20 mV",3.60000000e+00,1.18422541e+02
1,"-20 mV",3.70000000e+00,1.14302853e+02
1,"-20 mV",3.80000000e+00,1.10215890e+02
1,"-20 mV",3.90000000e+00,1.06166653e+02
1,"-20 mV",4.00000000e+00,1.02159201e+02
1,"-20 mV",4.10000000e+00,9.81968008e+01
1,"-20 mV",4.20000000e+00,9.42820592e+01
1,"-20 mV",4.30000000e+00,9.04170292e+01
1,"-20 mV",4.40000000e+00,8.66033025e+01
1,"-20 mV",4.50000000e+00,8.28420853e+01
1,"-20 mV",4.60000000e+00,7.91342622e+01
1,"-20 mV",4.70000000e+00,7.54804498e+01
1,"-20 mV",4.80000000e+00,7.18810410e+01
1,"-20 mV",4.90000000e+00,6.83362427e+01
1,"-20 mV",5.00000000e+00,6.48461070e+01
1,"-20 mV",5.10000000e+00,6.14105575e+01
1,"-20 mV",5.20000000e+00,5.80294106e+01
1,"-20 mV",5.30000000e+00,5.47023946e+01
1,"-20 mV",5.40000000e+00,5.14291644e+01
1,"-20 mV",5.50000000e+00,4.82093143e+01
1,"-20 mV",5.60000000e+00,4.50423893e+01
1,"-20 mV",5.70000000e+00,4.19278932e+01
1,"-20 mV",5.80000000e+00,3.88652968e+01
1,"-20 mV",5.90000000e+00,3.58540436e+01
1,"-20 mV",6.00000000e+00,3.28935557e+01
1,"-20 mV",6.10000000e+00,2.99832375e+01
1,"-20 mV",6.20000000e+00,2.71224799e+01
1,"-20 mV",6.30000000e+00,2.43106632e+01
1,"-20 mV",6.40000000e+00,2.15471599e+01
1,"-20 mV",6.50000000e+00,1.88313365e+01
